kernel_name,event_type,event_name,dur(us)
"relu_(128,)",main,jit_validation_relu(2997987402116995269),0.934285
"relu_(128,)",main,jit_validation_relu(2997987402116995269),1.101339
"relu_(128,)",main,jit_validation_relu(2997987402116995269),1.027054
"relu_(128,)",main,jit_validation_relu(2997987402116995269),0.931428
"relu_(128,)",main,jit_validation_relu(2997987402116995269),0.931428
"relu_(128,)",main,jit_validation_relu(2997987402116995269),0.93134
"relu_(128,)",main,jit_validation_relu(2997987402116995269),0.93134
"relu_(128,)",main,jit_validation_relu(2997987402116995269),0.931429
"relu_(128,)",main,jit_validation_relu(2997987402116995269),0.931429
"relu_(128,)",main,jit_validation_relu(2997987402116995269),0.931429
"relu_(128,)",sub,broadcast_maximum_fusion,0.855714
"relu_(128,)",sub,broadcast_maximum_fusion,1.022857
"relu_(128,)",sub,broadcast_maximum_fusion,0.948571
"relu_(128,)",sub,broadcast_maximum_fusion,0.854197
"relu_(128,)",sub,broadcast_maximum_fusion,0.854197
"relu_(128,)",sub,broadcast_maximum_fusion,0.851518
"relu_(128,)",sub,broadcast_maximum_fusion,0.851518
"relu_(128,)",sub,broadcast_maximum_fusion,0.852857
"relu_(128,)",sub,broadcast_maximum_fusion,0.852857
"relu_(128,)",sub,broadcast_maximum_fusion,0.854196
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.935714
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.935625
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.937054
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.947232
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.937143
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.937054
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.937142
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.937143
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.937053
"relu_(256,)",main,jit_validation_relu(10342152451066723429),0.937054
"relu_(256,)",sub,broadcast_maximum_fusion,0.858571
"relu_(256,)",sub,broadcast_maximum_fusion,0.857143
"relu_(256,)",sub,broadcast_maximum_fusion,0.857232
"relu_(256,)",sub,broadcast_maximum_fusion,0.86991
"relu_(256,)",sub,broadcast_maximum_fusion,0.858571
"relu_(256,)",sub,broadcast_maximum_fusion,0.857232
"relu_(256,)",sub,broadcast_maximum_fusion,0.85866
"relu_(256,)",sub,broadcast_maximum_fusion,0.85991
"relu_(256,)",sub,broadcast_maximum_fusion,0.857232
"relu_(256,)",sub,broadcast_maximum_fusion,0.857232
"relu_(384,)",main,jit_validation_relu(16919506699937368281),0.93
"relu_(384,)",main,jit_validation_relu(16919506699937368281),0.945715
"relu_(384,)",main,jit_validation_relu(16919506699937368281),0.931428
"relu_(384,)",main,jit_validation_relu(16919506699937368281),0.952947
"relu_(384,)",main,jit_validation_relu(16919506699937368281),1.091339
"relu_(384,)",main,jit_validation_relu(16919506699937368281),0.947143
"relu_(384,)",main,jit_validation_relu(16919506699937368281),1.112858
"relu_(384,)",main,jit_validation_relu(16919506699937368281),0.944375
"relu_(384,)",main,jit_validation_relu(16919506699937368281),0.931339
"relu_(384,)",main,jit_validation_relu(16919506699937368281),0.945625
"relu_(384,)",sub,broadcast_maximum_fusion,0.852857
"relu_(384,)",sub,broadcast_maximum_fusion,0.867143
"relu_(384,)",sub,broadcast_maximum_fusion,0.854196
"relu_(384,)",sub,broadcast_maximum_fusion,0.875625
"relu_(384,)",sub,broadcast_maximum_fusion,1.011518
"relu_(384,)",sub,broadcast_maximum_fusion,0.868571
"relu_(384,)",sub,broadcast_maximum_fusion,1.034286
"relu_(384,)",sub,broadcast_maximum_fusion,0.867054
"relu_(384,)",sub,broadcast_maximum_fusion,0.851518
"relu_(384,)",sub,broadcast_maximum_fusion,0.865803
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.924286
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.942768
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.927053
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.942858
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.924375
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.942768
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.925625
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.94009
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.924375
"relu_(512,)",main,jit_validation_relu(16919506699937368281),0.942857
"relu_(512,)",sub,broadcast_maximum_fusion,0.845714
"relu_(512,)",sub,broadcast_maximum_fusion,0.862946
"relu_(512,)",sub,broadcast_maximum_fusion,0.848572
"relu_(512,)",sub,broadcast_maximum_fusion,0.864375
"relu_(512,)",sub,broadcast_maximum_fusion,0.847054
"relu_(512,)",sub,broadcast_maximum_fusion,0.862946
"relu_(512,)",sub,broadcast_maximum_fusion,0.845804
"relu_(512,)",sub,broadcast_maximum_fusion,0.862857
"relu_(512,)",sub,broadcast_maximum_fusion,0.847053
"relu_(512,)",sub,broadcast_maximum_fusion,0.865625
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.948571
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.94991
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.95
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.947232
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.95
"relu_(640,)",main,jit_validation_relu(2368214993461295821),1.152946
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.94991
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.95
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.951339
"relu_(640,)",main,jit_validation_relu(2368214993461295821),0.948571
"relu_(640,)",sub,broadcast_maximum_fusion,0.87
"relu_(640,)",sub,broadcast_maximum_fusion,0.871429
"relu_(640,)",sub,broadcast_maximum_fusion,0.871428
"relu_(640,)",sub,broadcast_maximum_fusion,0.869911
"relu_(640,)",sub,broadcast_maximum_fusion,0.871428
"relu_(640,)",sub,broadcast_maximum_fusion,1.075625
"relu_(640,)",sub,broadcast_maximum_fusion,0.871429
"relu_(640,)",sub,broadcast_maximum_fusion,0.871428
"relu_(640,)",sub,broadcast_maximum_fusion,0.871518
"relu_(640,)",sub,broadcast_maximum_fusion,0.870089
"relu_(768,)",main,jit_validation_relu(2368214993461295821),1.034196
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.948482
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.947232
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.947143
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.948571
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.948572
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.948571
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.948661
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.961339
"relu_(768,)",main,jit_validation_relu(2368214993461295821),0.948572
"relu_(768,)",sub,broadcast_maximum_fusion,0.954375
"relu_(768,)",sub,broadcast_maximum_fusion,0.868661
"relu_(768,)",sub,broadcast_maximum_fusion,0.86991
"relu_(768,)",sub,broadcast_maximum_fusion,0.87
"relu_(768,)",sub,broadcast_maximum_fusion,0.871339
"relu_(768,)",sub,broadcast_maximum_fusion,0.87
"relu_(768,)",sub,broadcast_maximum_fusion,0.87
"relu_(768,)",sub,broadcast_maximum_fusion,0.871428
"relu_(768,)",sub,broadcast_maximum_fusion,0.882858
"relu_(768,)",sub,broadcast_maximum_fusion,0.87009
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.948571
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.949911
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.94866
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.948482
"relu_(896,)",main,jit_validation_relu(9931456047866500698),1.117143
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.94991
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.947232
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.94991
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.95
"relu_(896,)",main,jit_validation_relu(9931456047866500698),0.948571
"relu_(896,)",sub,broadcast_maximum_fusion,0.87134
"relu_(896,)",sub,broadcast_maximum_fusion,0.871429
"relu_(896,)",sub,broadcast_maximum_fusion,0.871428
"relu_(896,)",sub,broadcast_maximum_fusion,0.868661
"relu_(896,)",sub,broadcast_maximum_fusion,1.038572
"relu_(896,)",sub,broadcast_maximum_fusion,0.871429
"relu_(896,)",sub,broadcast_maximum_fusion,0.869911
"relu_(896,)",sub,broadcast_maximum_fusion,0.871429
"relu_(896,)",sub,broadcast_maximum_fusion,0.871428
"relu_(896,)",sub,broadcast_maximum_fusion,0.87134
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.948572
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.945803
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.948571
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.945714
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.948572
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.948572
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.948571
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.947054
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),0.947232
"relu_(1024,)",main,jit_validation_relu(9931456047866500698),1.055625
"relu_(1024,)",sub,broadcast_maximum_fusion,0.87
"relu_(1024,)",sub,broadcast_maximum_fusion,0.868571
"relu_(1024,)",sub,broadcast_maximum_fusion,0.87
"relu_(1024,)",sub,broadcast_maximum_fusion,0.867142
"relu_(1024,)",sub,broadcast_maximum_fusion,0.871339
"relu_(1024,)",sub,broadcast_maximum_fusion,0.87009
"relu_(1024,)",sub,broadcast_maximum_fusion,0.87
"relu_(1024,)",sub,broadcast_maximum_fusion,0.868571
