kernel_name,operation_name,dim_0,dim_1,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"sigmoid_(1024,1024)",sigmoid_,1024,1024.0,15.371723,15.255803,15.547054,0.121434,10,1048576
"sigmoid_(1024,896)",sigmoid_,1024,896.0,13.633714,13.568571,13.83,0.100332,10,917504
"tanh_(1024,1024)",tanh_,1024,1024.0,13.633428,13.471428,13.795803,0.121747,10,1048576
"sigmoid_(896,1024)",sigmoid_,896,1024.0,13.611464,13.471339,13.848661,0.147416,10,917504
"elu_(1024,1024)",elu_,1024,1024.0,12.700116,12.585715,12.877143,0.110884,10,1048576
"selu_(1024,1024)",selu_,1024,1024.0,12.61958,12.574285,12.874286,0.090188,10,1048576
"parametric_relu_(1024,1024)",parametric_relu_,1024,1024.0,12.272143,12.088572,12.415803,0.126205,10,1048576
"tanh_(896,1024)",tanh_,896,1024.0,12.120419,11.905714,12.278482,0.148549,10,917504
"sigmoid_(896,896)",sigmoid_,896,896.0,12.098402,11.967143,12.302858,0.132701,10,802816
"tanh_(1024,896)",tanh_,1024,896.0,12.040428,11.952857,12.268482,0.120491,10,917504
"leaky_relu_(1024,1024)",leaky_relu_,1024,1024.0,12.038009,11.852857,12.344197,0.159761,10,1048576
"sigmoid_(768,1024)",sigmoid_,768,1024.0,11.890571,11.740089,12.165625,0.142528,10,786432
"sigmoid_(1024,768)",sigmoid_,1024,768.0,11.834304,11.708571,12.087054,0.150749,10,786432
"relu_(1024,1024)",relu_,1024,1024.0,11.753134,11.608482,12.082768,0.185952,10,1048576
"selu_(1024,896)",selu_,1024,896.0,11.703866,11.591429,12.007143,0.150722,10,917504
"selu_(896,1024)",selu_,896,1024.0,11.679723,11.574286,11.915714,0.123339,10,917504
"linear_(1024,1024)",linear_,1024,1024.0,11.419839,11.367054,11.604197,0.087787,10,1048576
"elu_(1024,896)",elu_,1024,896.0,11.309723,11.195714,11.507143,0.117888,10,917504
"elu_(896,1024)",elu_,896,1024.0,11.250268,11.135625,11.597143,0.169983,10,917504
"parametric_relu_(896,1024)",parametric_relu_,896,1024.0,10.916143,10.705804,11.127053,0.165586,10,917504
"parametric_relu_(1024,896)",parametric_relu_,1024,896.0,10.893152,10.8,11.077142,0.098473,10,917504
"leaky_relu_(1024,896)",leaky_relu_,1024,896.0,10.704696,10.562946,10.974286,0.149762,10,917504
"tanh_(896,896)",tanh_,896,896.0,10.702723,10.577143,10.905804,0.103853,10,802816
"leaky_relu_(896,1024)",leaky_relu_,896,1024.0,10.596393,10.498482,10.835804,0.136104,10,917504
"linear_(896,896)",linear_,896,896.0,10.570723,10.4,10.747232,0.143733,10,802816
"sigmoid_(768,896)",sigmoid_,768,896.0,10.531286,10.401518,10.777143,0.14357,10,688128
"tanh_(1024,768)",tanh_,1024,768.0,10.493152,10.335803,10.631518,0.130914,10,786432
"tanh_(768,1024)",tanh_,768,1024.0,10.453,10.357053,10.647143,0.108238,10,786432
"relu_(1024,896)",relu_,1024,896.0,10.445134,10.345625,10.735714,0.13141,10,917504
"selu_(896,896)",selu_,896,896.0,10.420134,10.262768,10.63134,0.151985,10,802816
