kernel_name,event_type,event_name,dur(us)
"poolaving_(1,64,128,128)",main,jit_kernel_with_params(10190771360098597977),46.74
"poolaving_(1,64,128,128)",main,jit_kernel_with_params(10190771360098597977),46.737232
"poolaving_(1,64,128,128)",main,jit_kernel_with_params(10190771360098597977),46.737054
"poolaving_(1,64,128,128)",sub,reduce-window.10,40.82
"poolaving_(1,64,128,128)",sub,broadcast_multiply_fusion,5.817232
"poolaving_(1,64,128,128)",sub,reduce-window.10,40.815804
"poolaving_(1,64,128,128)",sub,broadcast_multiply_fusion,5.815714
"poolaving_(1,64,128,128)",sub,reduce-window.10,40.814375
"poolaving_(1,64,128,128)",sub,broadcast_multiply_fusion,5.812947
"poolaving_(1,64,128,256)",main,jit_kernel_with_params(10122135788866207302),57.435625
"poolaving_(1,64,128,256)",main,jit_kernel_with_params(10122135788866207302),57.581339
"poolaving_(1,64,128,256)",main,jit_kernel_with_params(10122135788866207302),57.437143
"poolaving_(1,64,128,256)",sub,reduce-window.10,51.514375
"poolaving_(1,64,128,256)",sub,broadcast_multiply_fusion,5.821518
"poolaving_(1,64,128,256)",sub,reduce-window.10,51.661428
"poolaving_(1,64,128,256)",sub,broadcast_multiply_fusion,5.818571
"poolaving_(1,64,128,256)",sub,reduce-window.10,51.515625
"poolaving_(1,64,128,256)",sub,broadcast_multiply_fusion,5.815714
"poolaving_(1,64,128,384)",main,jit_kernel_with_params(6050837602359538746),89.661339
"poolaving_(1,64,128,384)",main,jit_kernel_with_params(6050837602359538746),89.824286
"poolaving_(1,64,128,384)",main,jit_kernel_with_params(6050837602359538746),89.66
"poolaving_(1,64,128,384)",sub,reduce-window.10,79.398572
"poolaving_(1,64,128,384)",sub,broadcast_multiply_fusion,10.158572
"poolaving_(1,64,128,384)",sub,reduce-window.10,79.56
"poolaving_(1,64,128,384)",sub,broadcast_multiply_fusion,10.16
"poolaving_(1,64,128,384)",sub,reduce-window.10,79.402768
"poolaving_(1,64,128,384)",sub,broadcast_multiply_fusion,10.151429
"poolaving_(1,64,128,512)",main,jit_kernel_with_params(17242276574759724436),107.832947
"poolaving_(1,64,128,512)",main,jit_kernel_with_params(17242276574759724436),107.837233
"poolaving_(1,64,128,512)",main,jit_kernel_with_params(17242276574759724436),108.072768
"poolaving_(1,64,128,512)",sub,reduce-window.10,97.574196
"poolaving_(1,64,128,512)",sub,broadcast_multiply_fusion,10.162858
"poolaving_(1,64,128,512)",sub,reduce-window.10,97.575803
"poolaving_(1,64,128,512)",sub,broadcast_multiply_fusion,10.157143
"poolaving_(1,64,128,512)",sub,reduce-window.10,97.808661
"poolaving_(1,64,128,512)",sub,broadcast_multiply_fusion,10.161518
"poolaving_(1,64,128,640)",main,jit_kernel_with_params(422080382516560674),140.78009
"poolaving_(1,64,128,640)",main,jit_kernel_with_params(422080382516560674),140.788571
"poolaving_(1,64,128,640)",main,jit_kernel_with_params(422080382516560674),140.785625
"poolaving_(1,64,128,640)",sub,reduce-window.10,125.56
"poolaving_(1,64,128,640)",sub,broadcast_multiply_fusion,15.122857
"poolaving_(1,64,128,640)",sub,reduce-window.10,125.567143
"poolaving_(1,64,128,640)",sub,broadcast_multiply_fusion,15.114286
"poolaving_(1,64,128,640)",sub,reduce-window.10,125.56
"poolaving_(1,64,128,640)",sub,broadcast_multiply_fusion,15.118482
"poolaving_(1,64,128,768)",main,jit_kernel_with_params(11834891540997501994),160.612857
"poolaving_(1,64,128,768)",main,jit_kernel_with_params(11834891540997501994),160.282768
"poolaving_(1,64,128,768)",main,jit_kernel_with_params(11834891540997501994),160.280089
"poolaving_(1,64,128,768)",sub,reduce-window.10,145.391429
"poolaving_(1,64,128,768)",sub,broadcast_multiply_fusion,15.117143
"poolaving_(1,64,128,768)",sub,reduce-window.10,145.055714
"poolaving_(1,64,128,768)",sub,broadcast_multiply_fusion,15.124286
"poolaving_(1,64,128,768)",sub,reduce-window.10,145.061518
"poolaving_(1,64,128,768)",sub,broadcast_multiply_fusion,15.118572
"poolaving_(1,64,128,896)",main,jit_kernel_with_params(12689804979991366631),189.938572
"poolaving_(1,64,128,896)",main,jit_kernel_with_params(12689804979991366631),190.171429
"poolaving_(1,64,128,896)",main,jit_kernel_with_params(12689804979991366631),189.917143
"poolaving_(1,64,128,896)",sub,reduce-window.10,169.945714
"poolaving_(1,64,128,896)",sub,broadcast_multiply_fusion,19.89
"poolaving_(1,64,128,896)",sub,reduce-window.10,170.177143
"poolaving_(1,64,128,896)",sub,broadcast_multiply_fusion,19.897143
"poolaving_(1,64,128,896)",sub,reduce-window.10,169.924286
"poolaving_(1,64,128,896)",sub,broadcast_multiply_fusion,19.891518
"poolaving_(1,64,128,1024)",main,jit_kernel_with_params(11776699161716511880),210.737143
"poolaving_(1,64,128,1024)",main,jit_kernel_with_params(11776699161716511880),210.767143
"poolaving_(1,64,128,1024)",main,jit_kernel_with_params(11776699161716511880),210.73991
"poolaving_(1,64,128,1024)",sub,reduce-window.10,190.738661
"poolaving_(1,64,128,1024)",sub,broadcast_multiply_fusion,19.892857
"poolaving_(1,64,128,1024)",sub,reduce-window.10,190.73991
"poolaving_(1,64,128,1024)",sub,broadcast_multiply_fusion,19.892767
"poolaving_(1,64,128,1024)",sub,reduce-window.10,190.745714
"poolaving_(1,64,128,1024)",sub,broadcast_multiply_fusion,19.892768
"poolaving_(1,64,256,128)",main,jit_kernel_with_params(16421217583691366996),78.188572
"poolaving_(1,64,256,128)",main,jit_kernel_with_params(16421217583691366996),78.187232
"poolaving_(1,64,256,128)",main,jit_kernel_with_params(16421217583691366996),78.097143
"poolaving_(1,64,256,128)",sub,copy,20.951518
"poolaving_(1,64,256,128)",sub,reduce-window.10,51.315804
"poolaving_(1,64,256,128)",sub,broadcast_multiply_fusion,5.812946
"poolaving_(1,64,256,128)",sub,copy,20.948572
"poolaving_(1,64,256,128)",sub,reduce-window.10,51.315804
"poolaving_(1,64,256,128)",sub,broadcast_multiply_fusion,5.818661
"poolaving_(1,64,256,128)",sub,copy,20.857143
"poolaving_(1,64,256,128)",sub,reduce-window.10,51.315803
"poolaving_(1,64,256,128)",sub,broadcast_multiply_fusion,5.827143
"poolaving_(1,64,256,256)",main,jit_kernel_with_params(8602720548051326862),108.650089
"poolaving_(1,64,256,256)",main,jit_kernel_with_params(8602720548051326862),108.394196
"poolaving_(1,64,256,256)",main,jit_kernel_with_params(8602720548051326862),108.395714
"poolaving_(1,64,256,256)",sub,reduce-window.10,98.264197
"poolaving_(1,64,256,256)",sub,broadcast_multiply_fusion,10.277233
"poolaving_(1,64,256,256)",sub,reduce-window.10,98.005804
"poolaving_(1,64,256,256)",sub,broadcast_multiply_fusion,10.282857
"poolaving_(1,64,256,256)",sub,reduce-window.10,98.009911
"poolaving_(1,64,256,256)",sub,broadcast_multiply_fusion,10.281428
"poolaving_(1,64,256,384)",main,jit_kernel_with_params(6787617760817342754),215.825714
"poolaving_(1,64,256,384)",main,jit_kernel_with_params(6787617760817342754),215.542947
"poolaving_(1,64,256,384)",main,jit_kernel_with_params(6787617760817342754),215.64
"poolaving_(1,64,256,384)",sub,copy,55.350089
"poolaving_(1,64,256,384)",sub,reduce-window.10,145.212857
"poolaving_(1,64,256,384)",sub,broadcast_multiply_fusion,15.165625
"poolaving_(1,64,256,384)",sub,copy,55.058572
"poolaving_(1,64,256,384)",sub,reduce-window.10,145.222768
"poolaving_(1,64,256,384)",sub,broadcast_multiply_fusion,15.161339
"poolaving_(1,64,256,384)",sub,copy,55.167142
"poolaving_(1,64,256,384)",sub,reduce-window.10,145.211428
"poolaving_(1,64,256,384)",sub,broadcast_multiply_fusion,15.164285
"poolaving_(1,64,256,512)",main,jit_kernel_with_params(15106523343833364052),209.13
"poolaving_(1,64,256,512)",main,jit_kernel_with_params(15106523343833364052),208.951429
"poolaving_(1,64,256,512)",main,jit_kernel_with_params(15106523343833364052),208.95
"poolaving_(1,64,256,512)",sub,reduce-window.10,189.238661
"poolaving_(1,64,256,512)",sub,broadcast_multiply_fusion,19.79
"poolaving_(1,64,256,512)",sub,reduce-window.10,189.057142
"poolaving_(1,64,256,512)",sub,broadcast_multiply_fusion,19.787232
"poolaving_(1,64,256,512)",sub,reduce-window.10,189.055625
"poolaving_(1,64,256,512)",sub,broadcast_multiply_fusion,19.782947
"poolaving_(1,64,256,640)",main,jit_kernel_with_params(7023790641068177655),350.492857
"poolaving_(1,64,256,640)",main,jit_kernel_with_params(7023790641068177655),350.192947
"poolaving_(1,64,256,640)",main,jit_kernel_with_params(7023790641068177655),350.244375
"poolaving_(1,64,256,640)",sub,copy,89.538572
"poolaving_(1,64,256,640)",sub,reduce-window.10,235.941339
"poolaving_(1,64,256,640)",sub,broadcast_multiply_fusion,24.917143
"poolaving_(1,64,256,640)",sub,copy,89.232768
"poolaving_(1,64,256,640)",sub,reduce-window.10,235.942947
"poolaving_(1,64,256,640)",sub,broadcast_multiply_fusion,24.91
"poolaving_(1,64,256,640)",sub,copy,89.285625
"poolaving_(1,64,256,640)",sub,reduce-window.10,235.944196
"poolaving_(1,64,256,640)",sub,broadcast_multiply_fusion,24.908571
"poolaving_(1,64,256,768)",main,jit_kernel_with_params(17838461272819601046),313.237143
"poolaving_(1,64,256,768)",main,jit_kernel_with_params(17838461272819601046),313.248572
"poolaving_(1,64,256,768)",main,jit_kernel_with_params(17838461272819601046),313.29
"poolaving_(1,64,256,768)",sub,reduce-window.10,283.745714
"poolaving_(1,64,256,768)",sub,broadcast_multiply_fusion,29.39009
"poolaving_(1,64,256,768)",sub,reduce-window.10,283.755714
"poolaving_(1,64,256,768)",sub,broadcast_multiply_fusion,29.387143
"poolaving_(1,64,256,768)",sub,reduce-window.10,283.768482
"poolaving_(1,64,256,768)",sub,broadcast_multiply_fusion,29.427054
"poolaving_(1,64,256,896)",main,jit_kernel_with_params(426270098695864610),488.394375
"poolaving_(1,64,256,896)",main,jit_kernel_with_params(426270098695864610),488.13866
"poolaving_(1,64,256,896)",main,jit_kernel_with_params(426270098695864610),488.322857
"poolaving_(1,64,256,896)",sub,copy,128.398571
"poolaving_(1,64,256,896)",sub,reduce-window.10,326.785714
"poolaving_(1,64,256,896)",sub,broadcast_multiply_fusion,33.11
"poolaving_(1,64,256,896)",sub,copy,128.142857
"poolaving_(1,64,256,896)",sub,reduce-window.10,326.785715
"poolaving_(1,64,256,896)",sub,broadcast_multiply_fusion,33.102857
"poolaving_(1,64,256,896)",sub,copy,128.322946
"poolaving_(1,64,256,896)",sub,reduce-window.10,326.785714
"poolaving_(1,64,256,896)",sub,broadcast_multiply_fusion,33.11
"poolaving_(1,64,256,1024)",main,jit_kernel_with_params(3569948998615732706),416.125714
"poolaving_(1,64,256,1024)",main,jit_kernel_with_params(3569948998615732706),416.13
"poolaving_(1,64,256,1024)",main,jit_kernel_with_params(3569948998615732706),416.52991
"poolaving_(1,64,256,1024)",sub,reduce-window.10,378.565804
"poolaving_(1,64,256,1024)",sub,broadcast_multiply_fusion,37.45
"poolaving_(1,64,256,1024)",sub,reduce-window.10,378.57009
"poolaving_(1,64,256,1024)",sub,broadcast_multiply_fusion,37.461428
"poolaving_(1,64,256,1024)",sub,reduce-window.10,378.972857
"poolaving_(1,64,256,1024)",sub,broadcast_multiply_fusion,37.462946
"poolaving_(1,64,384,128)",main,jit_kernel_with_params(13364497522258565842),118.454197
"poolaving_(1,64,384,128)",main,jit_kernel_with_params(13364497522258565842),118.362857
"poolaving_(1,64,384,128)",main,jit_kernel_with_params(13364497522258565842),118.37134
"poolaving_(1,64,384,128)",sub,copy,29.051518
"poolaving_(1,64,384,128)",sub,reduce-window.10,79.138661
"poolaving_(1,64,384,128)",sub,broadcast_multiply_fusion,10.161518
"poolaving_(1,64,384,128)",sub,copy,28.958661
"poolaving_(1,64,384,128)",sub,reduce-window.10,79.138661
"poolaving_(1,64,384,128)",sub,broadcast_multiply_fusion,10.161518
"poolaving_(1,64,384,128)",sub,copy,28.957143
"poolaving_(1,64,384,128)",sub,reduce-window.10,79.149911
"poolaving_(1,64,384,128)",sub,broadcast_multiply_fusion,10.161429
"poolaving_(1,64,384,256)",main,jit_kernel_with_params(8744015448169367642),160.765625
"poolaving_(1,64,384,256)",main,jit_kernel_with_params(8744015448169367642),160.764375
"poolaving_(1,64,384,256)",main,jit_kernel_with_params(8744015448169367642),160.784196
"poolaving_(1,64,384,256)",sub,reduce-window.10,145.502946
"poolaving_(1,64,384,256)",sub,broadcast_multiply_fusion,15.16
"poolaving_(1,64,384,256)",sub,reduce-window.10,145.502768
"poolaving_(1,64,384,256)",sub,broadcast_multiply_fusion,15.16134
"poolaving_(1,64,384,256)",sub,reduce-window.10,145.5
"poolaving_(1,64,384,256)",sub,broadcast_multiply_fusion,15.185625
"poolaving_(1,64,384,384)",main,jit_kernel_with_params(4491578561763050759),258.031339
"poolaving_(1,64,384,384)",main,jit_kernel_with_params(4491578561763050759),258.030089
"poolaving_(1,64,384,384)",main,jit_kernel_with_params(4491578561763050759),258.27134
"poolaving_(1,64,384,384)",sub,reduce-window.10,229.397143
"poolaving_(1,64,384,384)",sub,broadcast_multiply_fusion,28.534286
"poolaving_(1,64,384,384)",sub,reduce-window.10,229.399911
"poolaving_(1,64,384,384)",sub,broadcast_multiply_fusion,28.535625
"poolaving_(1,64,384,384)",sub,reduce-window.10,229.634375
"poolaving_(1,64,384,384)",sub,broadcast_multiply_fusion,28.534286
"poolaving_(1,64,384,512)",main,jit_kernel_with_params(11397514111322678412),313.891339
"poolaving_(1,64,384,512)",main,jit_kernel_with_params(11397514111322678412),313.910089
"poolaving_(1,64,384,512)",main,jit_kernel_with_params(11397514111322678412),313.905625
"poolaving_(1,64,384,512)",sub,reduce-window.10,285.257232
"poolaving_(1,64,384,512)",sub,broadcast_multiply_fusion,28.531428
"poolaving_(1,64,384,512)",sub,reduce-window.10,285.277142
"poolaving_(1,64,384,512)",sub,broadcast_multiply_fusion,28.53
"poolaving_(1,64,384,512)",sub,reduce-window.10,285.268571
"poolaving_(1,64,384,512)",sub,broadcast_multiply_fusion,28.537143
"poolaving_(1,64,384,640)",main,jit_kernel_with_params(18147406462831213727),414.232857
"poolaving_(1,64,384,640)",main,jit_kernel_with_params(18147406462831213727),414.160089
"poolaving_(1,64,384,640)",main,jit_kernel_with_params(18147406462831213727),414.117143
"poolaving_(1,64,384,640)",sub,reduce-window.10,371.77991
"poolaving_(1,64,384,640)",sub,broadcast_multiply_fusion,42.317143
"poolaving_(1,64,384,640)",sub,reduce-window.10,371.772946
"poolaving_(1,64,384,640)",sub,broadcast_multiply_fusion,42.285714
"poolaving_(1,64,384,640)",sub,reduce-window.10,371.765714
"poolaving_(1,64,384,640)",sub,broadcast_multiply_fusion,42.251429
"poolaving_(1,64,384,768)",main,jit_kernel_with_params(13552271422364258944),464.452857
"poolaving_(1,64,384,768)",main,jit_kernel_with_params(13552271422364258944),464.747053
"poolaving_(1,64,384,768)",main,jit_kernel_with_params(13552271422364258944),464.572768
"poolaving_(1,64,384,768)",sub,reduce-window.10,421.994286
"poolaving_(1,64,384,768)",sub,broadcast_multiply_fusion,42.321518
"poolaving_(1,64,384,768)",sub,reduce-window.10,422.385804
"poolaving_(1,64,384,768)",sub,broadcast_multiply_fusion,42.258572
"poolaving_(1,64,384,768)",sub,reduce-window.10,422.217143
"poolaving_(1,64,384,768)",sub,broadcast_multiply_fusion,42.251339
"poolaving_(1,64,384,896)",main,jit_kernel_with_params(17518939851644475544),568.872768
"poolaving_(1,64,384,896)",main,jit_kernel_with_params(17518939851644475544),568.411428
"poolaving_(1,64,384,896)",main,jit_kernel_with_params(17518939851644475544),568.402946
"poolaving_(1,64,384,896)",sub,reduce-window.10,512.652857
"poolaving_(1,64,384,896)",sub,broadcast_multiply_fusion,55.967143
"poolaving_(1,64,384,896)",sub,reduce-window.10,512.444375
"poolaving_(1,64,384,896)",sub,broadcast_multiply_fusion,55.858661
"poolaving_(1,64,384,896)",sub,reduce-window.10,512.437143
"poolaving_(1,64,384,896)",sub,broadcast_multiply_fusion,55.862858
"poolaving_(1,64,384,1024)",main,jit_kernel_with_params(9410310871066773628),624.147053
"poolaving_(1,64,384,1024)",main,jit_kernel_with_params(9410310871066773628),623.791339
"poolaving_(1,64,384,1024)",main,jit_kernel_with_params(9410310871066773628),623.777143
"poolaving_(1,64,384,1024)",sub,reduce-window.10,568.037143
"poolaving_(1,64,384,1024)",sub,broadcast_multiply_fusion,55.885625
"poolaving_(1,64,384,1024)",sub,reduce-window.10,567.822857
"poolaving_(1,64,384,1024)",sub,broadcast_multiply_fusion,55.86991
"poolaving_(1,64,384,1024)",sub,reduce-window.10,567.814286
"poolaving_(1,64,384,1024)",sub,broadcast_multiply_fusion,55.862857
"poolaving_(1,64,512,128)",main,jit_kernel_with_params(10398469874592798644),146.284375
"poolaving_(1,64,512,128)",main,jit_kernel_with_params(10398469874592798644),146.347232
"poolaving_(1,64,512,128)",main,jit_kernel_with_params(10398469874592798644),146.531429
"poolaving_(1,64,512,128)",sub,copy,38.705714
"poolaving_(1,64,512,128)",sub,reduce-window.10,97.318661
"poolaving_(1,64,512,128)",sub,broadcast_multiply_fusion,10.152947
"poolaving_(1,64,512,128)",sub,copy,38.765714
"poolaving_(1,64,512,128)",sub,reduce-window.10,97.31866
"poolaving_(1,64,512,128)",sub,broadcast_multiply_fusion,10.15866
"poolaving_(1,64,512,128)",sub,copy,38.948661
"poolaving_(1,64,512,128)",sub,reduce-window.10,97.318661
"poolaving_(1,64,512,128)",sub,broadcast_multiply_fusion,10.16
"poolaving_(1,64,512,256)",main,jit_kernel_with_params(10781642109179436800),211.352858
"poolaving_(1,64,512,256)",main,jit_kernel_with_params(10781642109179436800),211.361517
"poolaving_(1,64,512,256)",main,jit_kernel_with_params(10781642109179436800),211.358661
"poolaving_(1,64,512,256)",sub,reduce-window.10,191.217143
"poolaving_(1,64,512,256)",sub,broadcast_multiply_fusion,20.035804
"poolaving_(1,64,512,256)",sub,reduce-window.10,191.225625
"poolaving_(1,64,512,256)",sub,broadcast_multiply_fusion,20.037054
"poolaving_(1,64,512,256)",sub,reduce-window.10,191.22134
"poolaving_(1,64,512,256)",sub,broadcast_multiply_fusion,20.035714
"poolaving_(1,64,512,384)",main,jit_kernel_with_params(4017875925616821535),420.54
"poolaving_(1,64,512,384)",main,jit_kernel_with_params(4017875925616821535),420.16
"poolaving_(1,64,512,384)",main,jit_kernel_with_params(4017875925616821535),420.172946
"poolaving_(1,64,512,384)",sub,copy,107.034286
"poolaving_(1,64,512,384)",sub,reduce-window.10,284.872857
"poolaving_(1,64,512,384)",sub,broadcast_multiply_fusion,28.53134
"poolaving_(1,64,512,384)",sub,copy,106.657142
"poolaving_(1,64,512,384)",sub,reduce-window.10,284.868571
"poolaving_(1,64,512,384)",sub,broadcast_multiply_fusion,28.527233
"poolaving_(1,64,512,384)",sub,copy,106.67134
"poolaving_(1,64,512,384)",sub,reduce-window.10,284.868571
"poolaving_(1,64,512,384)",sub,broadcast_multiply_fusion,28.541428
"poolaving_(1,64,512,512)",main,jit_kernel_with_params(6529266396890701023),417.845803
"poolaving_(1,64,512,512)",main,jit_kernel_with_params(6529266396890701023),417.607142
"poolaving_(1,64,512,512)",main,jit_kernel_with_params(6529266396890701023),417.882946
"poolaving_(1,64,512,512)",sub,reduce-window.10,380.490089
"poolaving_(1,64,512,512)",sub,broadcast_multiply_fusion,37.255803
"poolaving_(1,64,512,512)",sub,reduce-window.10,380.208571
"poolaving_(1,64,512,512)",sub,broadcast_multiply_fusion,37.261518
"poolaving_(1,64,512,512)",sub,reduce-window.10,380.528571
"poolaving_(1,64,512,512)",sub,broadcast_multiply_fusion,37.251518
"poolaving_(1,64,512,640)",main,jit_kernel_with_params(11137348247291334277),696.117143
"poolaving_(1,64,512,640)",main,jit_kernel_with_params(11137348247291334277),695.751339
"poolaving_(1,64,512,640)",main,jit_kernel_with_params(11137348247291334277),696.027232
"poolaving_(1,64,512,640)",sub,copy,175.858572
"poolaving_(1,64,512,640)",sub,reduce-window.10,473.618572
"poolaving_(1,64,512,640)",sub,broadcast_multiply_fusion,46.414375
"poolaving_(1,64,512,640)",sub,copy,175.797232
"poolaving_(1,64,512,640)",sub,reduce-window.10,473.455803
"poolaving_(1,64,512,640)",sub,broadcast_multiply_fusion,46.390089
"poolaving_(1,64,512,640)",sub,copy,176.072768
"poolaving_(1,64,512,640)",sub,reduce-window.10,473.457143
"poolaving_(1,64,512,640)",sub,broadcast_multiply_fusion,46.395625
"poolaving_(1,64,512,768)",main,jit_kernel_with_params(1287388529062237276),627.858482
