kernel_name,dim_0,dim_1,dim_2,dim_3,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"poolaving_(1,256,1024,768)",1,256,1024,768,3902.462634,435.432857,7369.851428,3797.926199,6,201326592
"poolaving_(1,256,896,768)",1,256,896,768,3550.047857,381.274285,6718.940089,3471.201392,6,176160768
"poolaving_(1,256,896,1024)",1,256,896,1024,3046.88186,494.411429,5599.45,2796.055828,6,234881024
"poolaving_(1,192,1024,768)",1,192,1024,768,2927.51311,327.61,5527.552857,2848.020908,6,150994944
"poolaving_(1,256,768,896)",1,256,768,896,2852.317788,381.314375,6719.068572,2937.097819,9,176160768
"poolaving_(1,192,896,896)",1,192,896,896,2660.387634,371.897143,4948.965803,2506.868815,6,154140672
"poolaving_(1,192,896,768)",1,192,896,768,2660.297857,281.064375,5039.647053,2606.266555,6,132120576
"poolaving_(1,256,768,1024)",1,256,768,1024,2490.205268,424.385803,4556.038571,2262.947567,6,201326592
"poolaving_(1,192,1024,1024)",1,192,1024,1024,2489.550506,424.249911,4554.925625,2262.370112,6,201326592
"poolaving_(1,192,896,1024)",1,192,896,1024,2285.898809,371.880089,4200.011518,2096.668649,6,176160768
"poolaving_(1,192,768,896)",1,192,768,896,2138.016171,281.062768,5039.584196,2204.324625,9,132120576
"poolaving_(1,256,640,1024)",1,256,640,1024,2085.486414,354.374196,3816.834286,1896.302894,6,167772160
"poolaving_(1,192,1024,896)",1,192,1024,896,2009.534276,371.879911,4200.14,1708.709239,9,176160768
"poolaving_(1,128,1024,768)",1,128,1024,768,1952.641682,219.841429,3685.540089,1898.145321,6,100663296
"poolaving_(1,256,768,768)",1,256,768,768,1879.535,327.46,3431.732768,1700.188464,6,150994944
"poolaving_(1,192,768,1024)",1,192,768,1024,1868.370461,319.362857,3417.525715,1696.79909,6,150994944
"poolaving_(1,256,1024,640)",1,256,1024,640,1857.576498,354.36,3817.051339,1537.682986,9,167772160
"poolaving_(1,256,896,896)",1,256,896,896,1828.866032,430.027143,3119.55,1167.283793,9,205520896
"poolaving_(1,128,896,768)",1,128,896,768,1776.391919,192.588571,3360.318571,1734.894007,6,88080384
"poolaving_(1,256,512,1024)",1,256,512,1024,1660.819077,284.257232,3037.551518,1507.929206,6,134217728
"poolaving_(1,128,1024,1024)",1,128,1024,1024,1660.705253,284.257143,3037.428572,1507.781116,6,134217728
"poolaving_(1,256,1024,512)",1,256,1024,512,1659.462351,282.46,3036.752857,1508.390898,6,134217728
"poolaving_(1,192,640,1024)",1,192,640,1024,1564.931428,266.861428,2863.255714,1421.949353,6,125829120
"poolaving_(1,256,640,768)",1,256,640,768,1558.449732,273.698482,2843.301517,1407.325938,6,125829120
"poolaving_(1,128,896,1024)",1,128,896,1024,1524.96119,249.407143,2800.605803,1397.259777,6,117440512
"poolaving_(1,256,896,512)",1,256,896,512,1446.948586,247.795803,2646.231429,1313.571183,6,117440512
"poolaving_(1,192,640,896)",1,192,640,896,1427.75119,266.842857,2588.735803,1271.615909,6,110100480
"poolaving_(1,128,768,896)",1,128,768,896,1427.676161,192.514286,3360.2,1467.934582,9,88080384
"poolaving_(1,192,768,768)",1,192,768,768,1407.890045,241.312947,2574.781429,1277.896749,6,113246208
"poolaving_(1,192,1024,640)",1,192,1024,640,1390.646349,266.847054,2863.472857,1154.284706,9,125829120
"poolaving_(1,256,768,640)",1,256,768,640,1386.287034,273.632947,2843.570089,1142.323926,9,125829120
"poolaving_(1,128,1024,896)",1,128,1024,896,1343.298879,249.337143,2800.885625,1137.774091,9,117440512
"poolaving_(1,256,896,640)",1,256,896,640,1307.560952,308.358661,2229.734196,833.940089,9,146800640
"poolaving_(1,256,640,896)",1,256,640,896,1304.291587,308.241429,2228.642857,833.236156,9,146800640
