kernel_name,event_type,event_name,dur(us)
"batch_norm_inference_(64,64,32,32)",main,jit_kernel_with_params(12000627738032679079),54.899911
"batch_norm_inference_(64,64,32,32)",main,jit_kernel_with_params(12000627738032679079),54.928661
"batch_norm_inference_(64,64,32,32)",main,jit_kernel_with_params(12000627738032679079),54.902857
"batch_norm_inference_(64,64,32,32)",main,jit_kernel_with_params(12000627738032679079),54.945714
"batch_norm_inference_(64,64,32,32)",main,jit_kernel_with_params(12000627738032679079),54.857054
"batch_norm_inference_(64,64,32,32)",sub,convert_multiply_fusion,54.762946
"batch_norm_inference_(64,64,32,32)",sub,convert_multiply_fusion,54.794286
"batch_norm_inference_(64,64,32,32)",sub,convert_multiply_fusion,54.768483
"batch_norm_inference_(64,64,32,32)",sub,convert_multiply_fusion,54.867143
"batch_norm_inference_(64,64,32,32)",sub,convert_multiply_fusion,54.777232
"batch_norm_inference_(64,64,32,64)",main,jit_kernel_with_params(15308103339223476204),104.974286
"batch_norm_inference_(64,64,32,64)",main,jit_kernel_with_params(15308103339223476204),104.798571
"batch_norm_inference_(64,64,32,64)",main,jit_kernel_with_params(15308103339223476204),104.875625
"batch_norm_inference_(64,64,32,64)",main,jit_kernel_with_params(15308103339223476204),105.012946
"batch_norm_inference_(64,64,32,64)",main,jit_kernel_with_params(15308103339223476204),104.875714
"batch_norm_inference_(64,64,32,64)",sub,convert_multiply_fusion,104.861429
"batch_norm_inference_(64,64,32,64)",sub,convert_multiply_fusion,104.72
"batch_norm_inference_(64,64,32,64)",sub,convert_multiply_fusion,104.797143
"batch_norm_inference_(64,64,32,64)",sub,convert_multiply_fusion,104.878482
"batch_norm_inference_(64,64,32,64)",sub,convert_multiply_fusion,104.741429
"batch_norm_inference_(64,64,32,96)",main,jit_kernel_with_params(15308103339223476204),104.974285
"batch_norm_inference_(64,64,32,96)",main,jit_kernel_with_params(15308103339223476204),104.661339
"batch_norm_inference_(64,64,32,96)",main,jit_kernel_with_params(15308103339223476204),104.765715
"batch_norm_inference_(64,64,32,96)",main,jit_kernel_with_params(15308103339223476204),105.057233
"batch_norm_inference_(64,64,32,96)",main,jit_kernel_with_params(15308103339223476204),105.135715
"batch_norm_inference_(64,64,32,96)",sub,convert_multiply_fusion,104.895714
"batch_norm_inference_(64,64,32,96)",sub,convert_multiply_fusion,104.525714
"batch_norm_inference_(64,64,32,96)",sub,convert_multiply_fusion,104.65
"batch_norm_inference_(64,64,32,96)",sub,convert_multiply_fusion,104.922857
"batch_norm_inference_(64,64,32,96)",sub,convert_multiply_fusion,105.037053
"batch_norm_inference_(64,64,32,128)",main,jit_kernel_with_params(15308103339223476204),105.197143
"batch_norm_inference_(64,64,32,128)",main,jit_kernel_with_params(15308103339223476204),104.748661
"batch_norm_inference_(64,64,32,128)",main,jit_kernel_with_params(15308103339223476204),105.311428
"batch_norm_inference_(64,64,32,128)",main,jit_kernel_with_params(15308103339223476204),104.774375
"batch_norm_inference_(64,64,32,128)",main,jit_kernel_with_params(15308103339223476204),104.815625
"batch_norm_inference_(64,64,32,128)",sub,convert_multiply_fusion,105.095714
"batch_norm_inference_(64,64,32,128)",sub,convert_multiply_fusion,104.618572
"batch_norm_inference_(64,64,32,128)",sub,convert_multiply_fusion,105.175803
"batch_norm_inference_(64,64,32,128)",sub,convert_multiply_fusion,104.658571
"batch_norm_inference_(64,64,32,128)",sub,convert_multiply_fusion,104.681428
"batch_norm_inference_(64,64,64,32)",main,jit_kernel_with_params(15308103339223476204),104.55134
"batch_norm_inference_(64,64,64,32)",main,jit_kernel_with_params(15308103339223476204),104.978482
"batch_norm_inference_(64,64,64,32)",main,jit_kernel_with_params(15308103339223476204),104.772768
"batch_norm_inference_(64,64,64,32)",main,jit_kernel_with_params(15308103339223476204),104.614286
"batch_norm_inference_(64,64,64,32)",main,jit_kernel_with_params(15308103339223476204),104.745714
"batch_norm_inference_(64,64,64,32)",sub,convert_multiply_fusion,104.414375
"batch_norm_inference_(64,64,64,32)",sub,convert_multiply_fusion,104.9
"batch_norm_inference_(64,64,64,32)",sub,convert_multiply_fusion,104.674286
"batch_norm_inference_(64,64,64,32)",sub,convert_multiply_fusion,104.537054
"batch_norm_inference_(64,64,64,32)",sub,convert_multiply_fusion,104.667232
"batch_norm_inference_(64,64,64,64)",main,jit_kernel_with_params(15083885545970771132),203.378572
"batch_norm_inference_(64,64,64,64)",main,jit_kernel_with_params(15083885545970771132),204.220089
"batch_norm_inference_(64,64,64,64)",main,jit_kernel_with_params(15083885545970771132),204.307053
"batch_norm_inference_(64,64,64,64)",main,jit_kernel_with_params(15083885545970771132),204.677232
"batch_norm_inference_(64,64,64,64)",main,jit_kernel_with_params(15083885545970771132),204.422857
