kernel_name,dim_0,dim_1,dim_2,dim_3,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"batch_norm_inference_(64,256,128,128)",64,256,128,128,1600.710554,1599.492858,1602.117054,1.066091,5,268435456
"batch_norm_inference_(64,256,128,96)",64,256,128,96,1213.55575,1213.122857,1214.040089,0.423445,5,201326592
"batch_norm_inference_(64,256,96,128)",64,256,96,128,1210.793161,1208.677053,1212.477143,1.638494,5,201326592
"batch_norm_inference_(64,192,128,128)",64,192,128,128,1200.12484,1199.322858,1200.915715,0.610105,5,201326592
"batch_norm_inference_(64,192,96,96)",64,192,96,96,912.216286,910.978482,912.798661,0.738828,5,113246208
"batch_norm_inference_(64,192,128,96)",64,192,128,96,912.102018,911.735803,912.805625,0.411772,5,150994944
"batch_norm_inference_(64,192,96,128)",64,192,96,128,911.954268,911.212857,912.752857,0.695991,5,150994944
"batch_norm_inference_(64,256,96,96)",64,256,96,96,908.445107,907.111339,909.744197,1.051072,5,150994944
"batch_norm_inference_(128,64,128,128)",128,64,128,128,803.853179,802.861518,804.532858,0.652434,5,134217728
"batch_norm_inference_(64,128,128,128)",64,128,128,128,803.796321,803.287143,804.320089,0.463613,5,134217728
"batch_norm_inference_(64,256,64,128)",64,256,64,128,803.290857,802.862857,803.58,0.382984,5,134217728
"batch_norm_inference_(64,256,128,64)",64,256,128,64,802.940911,801.897143,803.737233,0.685751,5,134217728
"batch_norm_inference_(128,64,128,96)",128,64,128,96,609.622304,609.182947,610.287143,0.464241,5,100663296
"batch_norm_inference_(64,128,96,128)",64,128,96,128,609.256821,608.974286,609.545714,0.218713,5,100663296
"batch_norm_inference_(64,128,128,96)",64,128,128,96,608.802839,608.26,609.58,0.483615,5,100663296
"batch_norm_inference_(128,64,96,128)",128,64,96,128,608.287107,607.931428,608.827054,0.34968,5,100663296
"batch_norm_inference_(64,256,64,96)",64,256,64,96,607.900304,607.208572,608.307053,0.433285,5,100663296
"batch_norm_inference_(64,192,64,96)",64,192,64,96,603.415964,603.06991,603.808572,0.292461,5,75497472
"batch_norm_inference_(64,192,96,64)",64,192,96,64,603.135714,602.982857,603.351429,0.147992,5,75497472
"batch_norm_inference_(64,192,128,64)",64,192,128,64,603.073447,602.564375,603.691429,0.516646,5,100663296
"batch_norm_inference_(64,256,96,64)",64,256,96,64,602.812286,602.465714,603.222857,0.345882,5,100663296
"batch_norm_inference_(64,192,64,128)",64,192,64,128,602.700893,602.15009,603.025714,0.389763,5,100663296
"batch_norm_inference_(128,64,96,96)",128,64,96,96,458.090625,457.811518,458.8,0.4113,5,75497472
"batch_norm_inference_(64,128,96,96)",64,128,96,96,457.472268,456.864286,457.937143,0.391471,5,75497472
"batch_norm_inference_(64,64,128,128)",64,64,128,128,405.048804,404.682768,405.428572,0.295095,5,67108864
"batch_norm_inference_(64,256,64,64)",64,256,64,64,404.724304,402.395714,405.744286,1.344731,5,67108864
"batch_norm_inference_(64,128,128,64)",64,128,128,64,404.521982,403.831428,405.095625,0.529335,5,67108864
"batch_norm_inference_(64,256,32,128)",64,256,32,128,403.982304,403.127054,404.558571,0.563238,5,67108864
"batch_norm_inference_(128,128,32,128)",128,128,32,128,403.981125,402.694286,404.751429,0.801766,5,67108864
"batch_norm_inference_(64,128,64,128)",64,128,64,128,403.872572,403.34,404.281429,0.402263,5,67108864
"batch_norm_inference_(64,192,64,64)",64,192,64,64,403.819982,402.564375,405.091429,1.107337,5,50331648
"batch_norm_inference_(64,256,128,32)",64,256,128,32,403.757446,403.351429,404.194286,0.360672,5,67108864
"batch_norm_inference_(128,64,64,128)",128,64,64,128,403.454268,402.485625,404.417143,0.795633,5,67108864
"batch_norm_inference_(128,64,128,64)",128,64,128,64,403.270268,403.012857,403.721339,0.268431,5,67108864
"batch_norm_inference_(128,64,64,96)",128,64,64,96,307.270589,307.19991,307.332857,0.05203,5,50331648
"batch_norm_inference_(64,64,96,128)",64,64,96,128,307.263125,306.797053,307.727053,0.354365,5,50331648
"batch_norm_inference_(64,128,64,96)",64,128,64,96,307.256804,307.067143,307.431339,0.162619,5,50331648
"batch_norm_inference_(64,64,96,96)",64,64,96,96,307.057446,306.73,307.321517,0.26493,5,37748736
"batch_norm_inference_(64,64,128,96)",64,64,128,96,307.031143,306.675625,307.402857,0.275118,5,50331648
"batch_norm_inference_(128,128,32,96)",128,128,32,96,306.761196,306.448571,306.954375,0.211951,5,50331648
"batch_norm_inference_(64,256,32,96)",64,256,32,96,306.414572,306.011429,306.657143,0.244335,5,50331648
"batch_norm_inference_(64,192,128,32)",64,192,128,32,304.253732,304.131428,304.379911,0.107144,5,50331648
"batch_norm_inference_(64,128,96,64)",64,128,96,64,304.2455,304.022946,304.49009,0.19246,5,50331648
"batch_norm_inference_(64,192,32,128)",64,192,32,128,304.240304,304.084196,304.331429,0.101516,5,50331648
"batch_norm_inference_(64,256,96,32)",64,256,96,32,304.239161,304.022858,304.605714,0.222396,5,50331648
"batch_norm_inference_(128,64,96,64)",128,64,96,64,304.170589,303.795803,304.662857,0.349647,5,50331648
"batch_norm_inference_(64,192,96,32)",64,192,96,32,304.102286,303.830089,304.398483,0.216689,5,37748736
"batch_norm_inference_(64,192,32,96)",64,192,32,96,303.959125,303.74,304.177143,0.160744,5,37748736
"batch_norm_inference_(64,128,64,64)",64,128,64,64,204.934,204.545625,205.214286,0.298431,5,33554432
"batch_norm_inference_(128,128,64,32)",128,128,64,32,204.920268,204.734286,205.115625,0.17326,5,33554432
"batch_norm_inference_(128,64,64,64)",128,64,64,64,204.739125,204.371339,205.182768,0.336428,5,33554432
"batch_norm_inference_(64,64,64,96)",64,64,64,96,204.691429,204.404286,205.16,0.285796,5,25165824
"batch_norm_inference_(64,64,96,64)",64,64,96,64,204.688857,204.451428,204.830089,0.144346,5,25165824
"batch_norm_inference_(64,192,64,32)",64,192,64,32,204.632875,204.104286,205.071428,0.392926,5,25165824
"batch_norm_inference_(64,256,64,32)",64,256,64,32,204.61,204.238482,204.769911,0.217832,5,33554432
"batch_norm_inference_(128,128,32,64)",128,128,32,64,204.574303,204.331428,205.078571,0.31134,5,33554432
"batch_norm_inference_(64,128,128,32)",64,128,128,32,204.538875,204.332857,204.732946,0.145717,5,33554432
"batch_norm_inference_(64,64,128,64)",64,64,128,64,204.523732,203.908572,204.867232,0.398493,5,33554432
"batch_norm_inference_(64,64,64,128)",64,64,64,128,204.428804,203.705714,204.734197,0.41556,5,33554432
"batch_norm_inference_(64,128,32,128)",64,128,32,128,204.415696,204.144375,204.74991,0.234174,5,33554432
"batch_norm_inference_(128,64,128,32)",128,64,128,32,204.369732,204.19,204.618572,0.168283,5,33554432
"batch_norm_inference_(128,64,32,128)",128,64,32,128,204.295178,203.948571,204.637142,0.264847,5,33554432
"batch_norm_inference_(64,256,32,64)",64,256,32,64,204.280857,204.078571,204.545714,0.2037,5,33554432
"batch_norm_inference_(64,192,32,64)",64,192,32,64,204.120572,203.815804,204.552858,0.269519,5,25165824
"batch_norm_inference_(64,64,64,64)",64,64,64,64,204.082571,203.301428,204.542857,0.469662,5,16777216
"batch_norm_inference_(64,128,32,96)",64,128,32,96,156.180625,156.024375,156.282857,0.103432,5,25165824
"batch_norm_inference_(128,64,32,96)",128,64,32,96,156.111982,155.811429,156.354196,0.23837,5,25165824
"batch_norm_inference_(64,128,96,32)",64,128,96,32,154.725964,154.678482,154.798571,0.046559,5,25165824
"batch_norm_inference_(128,64,96,32)",128,64,96,32,154.69941,154.48866,154.912768,0.155369,5,25165824
