kernel_name,event_type,event_name,dur(us)
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.34
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.338482
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.338571
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.337143
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.347053
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.337143
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.338482
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.398482
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.345804
"sub_(128,)",main,jit_validation_vector_sub(15554138330169926617),1.338571
"sub_(128,)",sub,copy-start,0.001518
"sub_(128,)",sub,copy-done,0.411429
"sub_(128,)",sub,subtract.3,0.845714
"sub_(128,)",sub,copy-start,0.001429
"sub_(128,)",sub,copy-done,0.40991
"sub_(128,)",sub,subtract.3,0.845714
"sub_(128,)",sub,copy-start,0.002768
"sub_(128,)",sub,copy-done,0.41
"sub_(128,)",sub,subtract.3,0.845714
"sub_(128,)",sub,copy-start,0.001429
"sub_(128,)",sub,copy-done,0.408571
"sub_(128,)",sub,subtract.3,0.845715
"sub_(128,)",sub,copy-start,0.001429
"sub_(128,)",sub,copy-done,0.418482
"sub_(128,)",sub,subtract.3,0.845715
"sub_(128,)",sub,copy-start,0.001428
"sub_(128,)",sub,copy-done,0.408572
"sub_(128,)",sub,subtract.3,0.845714
"sub_(128,)",sub,copy-start,0.001429
"sub_(128,)",sub,copy-done,0.409911
"sub_(128,)",sub,subtract.3,0.845714
"sub_(128,)",sub,copy-start,0.001429
"sub_(128,)",sub,copy-done,0.46991
"sub_(128,)",sub,subtract.3,0.845714
"sub_(128,)",sub,copy-start,0.001518
"sub_(128,)",sub,copy-done,0.408661
"sub_(128,)",sub,subtract.3,0.854286
"sub_(128,)",sub,copy-start,0.002768
"sub_(128,)",sub,copy-done,0.41
"sub_(128,)",sub,subtract.3,0.845714
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.342857
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.327143
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.342857
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.327143
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.344285
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.349911
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.35
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.33
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.344286
"sub_(256,)",main,jit_validation_vector_sub(2818655112975571855),1.327143
"sub_(256,)",sub,copy-start,0.002768
"sub_(256,)",sub,copy-done,0.407232
"sub_(256,)",sub,subtract.3,0.852857
"sub_(256,)",sub,copy-start,0.001518
"sub_(256,)",sub,copy-done,0.405804
"sub_(256,)",sub,subtract.3,0.838571
"sub_(256,)",sub,copy-start,0.002768
"sub_(256,)",sub,copy-done,0.407232
"sub_(256,)",sub,subtract.3,0.852857
"sub_(256,)",sub,copy-start,0.001518
"sub_(256,)",sub,copy-done,0.407143
"sub_(256,)",sub,subtract.3,0.837142
"sub_(256,)",sub,copy-start,0.002768
"sub_(256,)",sub,copy-done,0.408571
"sub_(256,)",sub,subtract.3,0.851517
"sub_(256,)",sub,copy-start,0.001429
"sub_(256,)",sub,copy-done,0.429911
"sub_(256,)",sub,subtract.3,0.837143
"sub_(256,)",sub,copy-start,0.002768
"sub_(256,)",sub,copy-done,0.414286
"sub_(256,)",sub,subtract.3,0.851517
"sub_(256,)",sub,copy-start,0.001518
"sub_(256,)",sub,copy-done,0.408571
"sub_(256,)",sub,subtract.3,0.83991
"sub_(256,)",sub,copy-start,0.002767
"sub_(256,)",sub,copy-done,0.408571
"sub_(256,)",sub,subtract.3,0.851518
"sub_(256,)",sub,copy-start,0.001518
"sub_(256,)",sub,copy-done,0.407143
"sub_(256,)",sub,subtract.3,0.837142
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.961429
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.962768
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.958572
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.96
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.961429
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.961428
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.96
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.96
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.958571
"sub_(384,)",main,jit_validation_vector_sub(5762564967635811909),0.96
"sub_(384,)",sub,subtract.3,0.881518
"sub_(384,)",sub,subtract.3,0.882857
"sub_(384,)",sub,subtract.3,0.878661
"sub_(384,)",sub,subtract.3,0.881429
"sub_(384,)",sub,subtract.3,0.882857
"sub_(384,)",sub,subtract.3,0.881517
"sub_(384,)",sub,subtract.3,0.881428
"sub_(384,)",sub,subtract.3,0.881339
"sub_(384,)",sub,subtract.3,0.88
"sub_(384,)",sub,subtract.3,0.881339
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.962768
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.947143
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.962857
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.945625
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.962768
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.945803
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.961428
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.947143
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.962768
"sub_(512,)",main,jit_validation_vector_sub(5762564967635811909),0.945803
"sub_(512,)",sub,subtract.3,0.882857
"sub_(512,)",sub,subtract.3,0.867232
"sub_(512,)",sub,subtract.3,0.882946
"sub_(512,)",sub,subtract.3,0.865714
"sub_(512,)",sub,subtract.3,0.882857
"sub_(512,)",sub,subtract.3,0.867143
"sub_(512,)",sub,subtract.3,0.882858
"sub_(512,)",sub,subtract.3,0.867232
"sub_(512,)",sub,subtract.3,0.882857
"sub_(512,)",sub,subtract.3,0.867143
"sub_(640,)",main,jit_validation_vector_sub(4666590901670803387),0.971429
"sub_(640,)",main,jit_validation_vector_sub(4666590901670803387),0.971518
