kernel_name,dim_0,dim_1,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"div_(1024, 1024)",1024,1024.0,22.595429,22.472947,22.732946,0.08244,10,1048576
"div_(896, 1024)",896,1024.0,19.915857,19.795625,20.105714,0.082985,10,917504
"div_(1024, 896)",1024,896.0,19.905286,19.859911,19.992947,0.044588,10,917504
"mul_(1024, 1024)",1024,1024.0,19.46991,19.31866,19.602946,0.097002,10,1048576
"sub_(1024, 1024)",1024,1024.0,19.411554,19.285625,19.55,0.088977,10,1048576
"div_(896, 896)",896,896.0,17.499152,17.31,17.601339,0.092924,10,802816
"sub_(1024, 896)",1024,896.0,17.156411,17.068572,17.281339,0.05549,10,917504
"mul_(1024, 896)",1024,896.0,17.148429,17.065715,17.217143,0.051848,10,917504
"div_(768, 1024)",768,1024.0,17.144589,16.945715,17.257143,0.108603,10,786432
"div_(1024, 768)",1024,768.0,17.142232,16.988483,17.26,0.082737,10,786432
"sub_(896, 1024)",896,1024.0,17.12758,17.018571,17.234286,0.067434,10,917504
"mul_(896, 1024)",896,1024.0,17.107009,17.011518,17.185715,0.056981,10,917504
"div_(768, 896)",768,896.0,15.171,14.932858,15.435714,0.17387,10,688128
"mul_(896, 896)",896,896.0,15.117857,15.021428,15.229911,0.065994,10,802816
"sub_(896, 896)",896,896.0,15.116295,15.034375,15.174286,0.039014,10,802816
"div_(896, 768)",896,768.0,15.102285,14.932857,15.211518,0.089476,10,688128
"sub_(1024, 768)",1024,768.0,14.849321,14.732946,14.964375,0.072992,10,786432
"mul_(1024, 768)",1024,768.0,14.843304,14.764286,14.931429,0.056462,10,786432
"sub_(768, 1024)",768,1024.0,14.836259,14.714286,14.928482,0.076641,10,786432
"mul_(768, 1024)",768,1024.0,14.81067,14.71991,14.902857,0.052425,10,786432
"div_(1024, 640)",1024,640.0,14.573991,14.46,14.632767,0.055476,10,655360
"div_(640, 1024)",640,1024.0,14.45375,14.28,14.677233,0.117898,10,655360
