kernel_name,event_type,event_name,dur(us)
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.682768
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.674375
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.684375
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.674286
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.682857
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.684375
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.674285
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.671429
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.684375
"layer_norm_(1,128,512)",main,jit_kernel_with_params(17670639435335458732),5.677142
"layer_norm_(1,128,512)",sub,copy-start,0.001428
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.812857
"layer_norm_(1,128,512)",sub,fusion.2,0.364285
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.609911
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.380089
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.39866
"layer_norm_(1,128,512)",sub,copy-start,0.001518
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.804285
"layer_norm_(1,128,512)",sub,fusion.2,0.365625
"layer_norm_(1,128,512)",sub,copy-done,0.00866
"layer_norm_(1,128,512)",sub,fusion.1,1.61
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.381339
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.394375
"layer_norm_(1,128,512)",sub,copy-start,0.002768
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.812768
"layer_norm_(1,128,512)",sub,fusion.2,0.364286
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.611429
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.381428
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.397143
"layer_norm_(1,128,512)",sub,copy-start,0.001429
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.798571
"layer_norm_(1,128,512)",sub,fusion.2,0.364285
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.611428
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.381428
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.398483
"layer_norm_(1,128,512)",sub,copy-start,0.002768
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.815625
"layer_norm_(1,128,512)",sub,fusion.2,0.364286
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.60991
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.380089
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.388572
"layer_norm_(1,128,512)",sub,copy-start,0.002768
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.812768
"layer_norm_(1,128,512)",sub,fusion.2,0.364285
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.609911
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.380089
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.39
"layer_norm_(1,128,512)",sub,copy-start,0.001429
"layer_norm_(1,128,512)",sub,convert_reduce_fusion,1.801429
"layer_norm_(1,128,512)",sub,fusion.2,0.364286
"layer_norm_(1,128,512)",sub,copy-done,0.01
"layer_norm_(1,128,512)",sub,fusion.1,1.609911
"layer_norm_(1,128,512)",sub,add_sqrt_fusion,0.380089
"layer_norm_(1,128,512)",sub,divide_convert_fusion,1.392857
