kernel_name,dim_0,dim_1,dim_2,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,event_count,tuple_product
"rms_norm_(2,1024,4096)",2,1024,4096,28.741247,0.437142,43.449911,20.358311,30,8388608
"layer_norm_(2,1024,4096)",2,1024,4096,25.412532,0.404196,47.034286,20.810338,50,8388608
"rms_norm_(2,896,4096)",2,896,4096,25.361988,0.44,38.097143,17.923547,30,7340032
"rms_norm_(2,1024,3584)",2,1024,3584,25.296137,0.437142,38.195715,17.879855,30,7340032
"layer_norm_(2,896,4096)",2,896,4096,22.752227,0.42,42.238661,18.585817,50,7340032
"layer_norm_(2,1024,3584)",2,1024,3584,22.397037,0.404196,41.440089,18.298292,50,7340032
"rms_norm_(2,896,3584)",2,896,3584,22.368955,0.44,33.6,15.771141,30,6422528
"rms_norm_(2,1024,3072)",2,1024,3072,21.89286,0.437142,33.092946,15.432043,30,6291456
"rms_norm_(2,768,4096)",2,768,4096,21.814003,0.41,33.019911,15.394625,30,6291456
"layer_norm_(2,896,3584)",2,896,3584,20.121157,0.42,37.428572,16.402035,50,6422528
"rms_norm_(2,896,3072)",2,896,3072,19.822821,0.44,30.23,13.948746,30,5505024
"layer_norm_(2,768,4096)",2,768,4096,19.764427,0.388571,36.004375,16.115738,50,6291456
"rms_norm_(2,768,3584)",2,768,3584,19.73306,0.41,30.554285,13.915652,30,5505024
"layer_norm_(2,1024,3072)",2,1024,3072,19.724812,0.404285,35.802857,16.064474,50,6291456
"rms_norm_(2,1024,2560)",2,1024,2560,18.499211,0.437142,27.888571,12.991447,30,5242880
"rms_norm_(2,640,4096)",2,640,4096,18.259804,0.414375,27.652947,12.836335,30,5242880
"layer_norm_(2,896,3072)",2,896,3072,17.697738,0.42,32.537143,14.375833,50,5505024
"layer_norm_(2,768,3584)",2,768,3584,17.382464,0.388571,31.968482,14.162009,50,5505024
"rms_norm_(2,768,3072)",2,768,3072,17.133857,0.41,26.457053,12.041718,30,4718592
"rms_norm_(2,896,2560)",2,896,2560,16.410601,0.44,24.582947,11.48587,30,4587520
"layer_norm_(2,1024,2560)",2,1024,2560,16.385741,0.404196,30.255625,13.298453,50,5242880
"layer_norm_(2,640,4096)",2,640,4096,16.356927,0.408571,29.92,13.247468,50,5242880
"rms_norm_(2,640,3584)",2,640,3584,16.138679,0.415625,24.287143,11.309377,30,4587520
"layer_norm_(2,768,3072)",2,768,3072,15.106812,0.388571,27.815714,12.270995,50,4718592
"rms_norm_(2,1024,2048)",2,1024,2048,15.064911,0.437142,22.672857,10.520749,30,4194304
"layer_norm_(2,896,2560)",2,896,2560,14.95638,0.42,27.734286,12.094233,50,4587520
"layer_norm_(2,640,3584)",2,640,3584,14.558934,0.408571,26.5,11.749782,50,4587520
"rms_norm_(2,768,2560)",2,768,2560,14.528473,0.41,22.344286,10.164703,30,3932160
"rms_norm_(1,1024,4096)",1,1024,4096,14.520952,0.382857,21.758572,10.168165,30,4194304
"rms_norm_(2,512,4096)",2,512,4096,14.468438,0.394285,21.861429,10.124859,30,4194304
"rms_norm_(2,640,3072)",2,640,3072,14.347312,0.415625,22.197054,10.035431,30,3932160
"rms_norm_(2,896,2048)",2,896,2048,14.336247,0.44,22.627143,10.042129,30,3670016
