kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count
matmul_112x112x112,112,112,112,1.3437991,1.2,1.514375,0.10880152222566124,20
matmul_112x112x128,112,112,128,1.3058348499999999,1.2,1.507142,0.09251122104871216,20
matmul_112x112x32,112,112,32,1.2924195,1.251339,1.43,0.06289361396625924,20
matmul_112x112x48,112,112,48,1.27020525,1.22866,1.422857,0.04432532754398528,20
matmul_112x112x64,112,112,64,1.2808572,1.237143,1.481428,0.06150137948183292,20
matmul_112x112x80,112,112,80,1.33070515,1.275714,1.534285,0.0824544121083536,20
matmul_112x112x96,112,112,96,1.37119645,1.312768,1.574285,0.08104230124056071,20
matmul_112x128x112,112,128,112,1.30799995,1.201428,1.53,0.08548513868348237,20
matmul_112x128x128,112,128,128,1.2359377,1.205714,1.529911,0.08263876376966771,20
matmul_112x128x32,112,128,32,1.2863618,1.221518,1.43009,0.07321358619934158,20
matmul_112x128x48,112,128,48,1.2862054,1.231429,1.492858,0.08261662589295717,20
matmul_112x128x64,112,128,64,1.2753617,1.235714,1.464197,0.05285164505242357,20
matmul_112x128x80,112,128,80,1.3077813,1.264375,1.505714,0.053291967684583934,20
matmul_112x128x96,112,128,96,1.36342855,1.305714,1.574375,0.0813140379493538,20
matmul_112x32x112,112,32,112,1.13669185,1.07991,1.268571,0.07394808642574158,20
matmul_112x32x128,112,32,128,1.09608475,1.077232,1.244286,0.04671993697935886,20
matmul_112x32x32,112,32,32,1.1526248,1.115625,1.254285,0.03857905007370549,20
matmul_112x32x48,112,32,48,1.02650875,1.002946,1.184286,0.03799454613338049,20
matmul_112x32x64,112,32,64,1.05657585,1.018572,1.175715,0.05202482660410164,20
matmul_112x32x80,112,32,80,1.0888528,1.034196,1.272768,0.07407651857910168,20
matmul_112x32x96,112,32,96,1.0828125,1.041517,1.228571,0.04417583477244213,20
matmul_112x48x112,112,48,112,1.13885725,1.085625,1.335714,0.08225491258653446,20
matmul_112x48x128,112,48,128,1.1214195,1.08,1.302857,0.06083037121589143,20
matmul_112x48x32,112,48,32,1.1906206,1.154286,1.36,0.06567801920405657,20
matmul_112x48x48,112,48,48,1.18913835,1.161429,1.365804,0.06202558020286977,20
matmul_112x48x64,112,48,64,1.1035179,1.04,1.28,0.07096167467903101,20
matmul_112x48x80,112,48,80,1.09086155,1.055714,1.198572,0.03860507937874849,20
matmul_112x48x96,112,48,96,1.1089866,1.065714,1.347143,0.06592341857704445,20
matmul_112x64x112,112,64,112,1.1485492,1.098482,1.311339,0.05945151868238615,20
matmul_112x64x128,112,64,128,1.16514295,1.127054,1.335625,0.06714942855302174,20
matmul_112x64x32,112,64,32,1.2008749,1.15,1.384285,0.06161701706159121,20
matmul_112x64x48,112,64,48,1.20729905,1.185714,1.387143,0.0543231385153257,20
matmul_112x64x64,112,64,64,1.2580715,1.171428,1.447143,0.09983736145377956,20
matmul_112x64x80,112,64,80,1.114906,1.08,1.178571,0.028505366275954343,20
matmul_112x64x96,112,64,96,1.127076,1.085714,1.26,0.04707472311124093,20
matmul_112x80x112,112,80,112,1.18176795,1.151339,1.388571,0.06152504503343163,20
matmul_112x80x128,112,80,128,1.17284815,1.125714,1.338571,0.050050582721540705,20
matmul_112x80x32,112,80,32,1.2189955,1.197232,1.36,0.04700839428901588,20
matmul_112x80x48,112,80,48,1.2424286,1.185714,1.422857,0.06962879637606088,20
matmul_112x80x64,112,80,64,1.2352055,1.197054,1.449911,0.05478899520168738,20
matmul_112x80x80,112,80,80,1.2650759,1.217142,1.454285,0.06340847125449076,20
matmul_112x80x96,112,80,96,1.16544185,1.112946,1.371429,0.06237938490717401,20
matmul_112x96x112,112,96,112,1.2064104,1.172857,1.385625,0.06593020051810776,20
matmul_112x96x128,112,96,128,1.18991965,1.141429,1.299911,0.04407285578660456,20
matmul_112x96x32,112,96,32,1.2553393,1.202857,1.447054,0.06834767315725185,20
matmul_112x96x48,112,96,48,1.2804508,1.275714,1.317143,0.008856063070901733,20
matmul_112x96x64,112,96,64,1.2377366,1.21009,1.332768,0.023075414080563603,20
matmul_112x96x80,112,96,80,1.30102225,1.26,1.542946,0.08814653212563905,20
matmul_112x96x96,112,96,96,1.31108925,1.294375,1.45,0.038355872781478284,20
matmul_128x112x112,128,112,112,1.3787054,1.335804,1.504196,0.05269979529911307,20
matmul_128x112x128,128,112,128,1.2335224,1.182857,1.422857,0.06273326050610087,20
matmul_128x112x32,128,112,32,1.28362035,1.250089,1.462857,0.06213710896521711,20
matmul_128x112x48,128,112,48,1.27035265,1.251429,1.444375,0.04586506669772585,20
matmul_128x112x64,128,112,64,1.27071435,1.234285,1.477143,0.05298171221158349,20
matmul_128x112x80,128,112,80,1.2897188,1.262768,1.411429,0.029097465340146955,20
matmul_128x112x96,128,112,96,1.33583935,1.295625,1.55991,0.06041923150722526,20
matmul_128x128x112,128,128,112,1.3926384,1.351429,1.551429,0.044002317025595955,20
matmul_128x128x128,128,128,128,1.42920535,1.331428,1.598571,0.07368906454847252,20
matmul_128x128x32,128,128,32,1.29109385,1.235803,1.457143,0.06602578817343786,20
matmul_128x128x48,128,128,48,1.29050005,1.271428,1.354286,0.024914431916746815,20
matmul_128x128x64,128,128,64,1.3249284,1.277143,1.545625,0.08268673745267996,20
matmul_128x128x80,128,128,80,1.35250015,1.295715,1.561428,0.07515439318060348,20
matmul_128x128x96,128,128,96,1.3834242,1.328661,1.577143,0.07356949246843526,20
matmul_128x32x112,128,32,112,1.09613855,1.052858,1.244286,0.04609911963593114,20
matmul_128x32x128,128,32,128,1.08912075,1.072857,1.094197,0.004143420769250062,20
matmul_128x32x32,128,32,32,1.1613704,1.131518,1.338571,0.058482975005686826,20
matmul_128x32x48,128,32,48,1.033366,1.005714,1.222947,0.05628095050912454,20
matmul_128x32x64,128,32,64,1.0754417,1.028661,1.26,0.0795444182613516,20
matmul_128x32x80,128,32,80,1.08685285,1.024375,1.245625,0.0729334006599063,20
matmul_128x32x96,128,32,96,1.102558,1.062947,1.298482,0.07189223278959753,20
matmul_128x48x112,128,48,112,1.1127812000000001,1.077143,1.284285,0.040874740741621035,20
matmul_128x48x128,128,48,128,1.1437724,1.097143,1.261518,0.05190173246109572,20
matmul_128x48x32,128,48,32,1.1659909,1.135625,1.345803,0.0435567082861678,20
matmul_128x48x48,128,48,48,1.17585705,1.142947,1.322946,0.038872788945042126,20
matmul_128x48x64,128,48,64,1.0781742,1.035714,1.262858,0.05723653354154698,20
matmul_128x48x80,128,48,80,1.14635705,1.072946,1.314285,0.10150941941435519,20
matmul_128x48x96,128,48,96,1.1382857,1.072857,1.25,0.03357622983302325,20
matmul_128x64x112,128,64,112,1.15635285,1.102857,1.307143,0.06077101690970352,20
matmul_128x64x128,128,64,128,1.15848215,1.115714,1.317143,0.05185623379901802,20
