kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_1024x1024x1024,1024,1024,1024,43.86699545,43.708572,44.122857,0.1399636531244624,20,89984
matmul_1024x1024x128,1024,1024,128,8.85683945,8.778661,9.079911,0.1019313100513619,20,11248
matmul_1024x1024x256,1024,1024,256,11.3406518,11.247232,11.59,0.1211450671492218,20,22496
matmul_1024x1024x384,1024,1024,384,15.0039377,14.915625,15.254197,0.1323710451647585,20,33744
matmul_1024x1024x512,1024,1024,512,18.0047142,17.872857,18.247143,0.1443635523066316,20,44992
matmul_1024x1024x640,1024,1024,640,22.9959775,22.91991,23.158571,0.0802815030701995,20,56240
matmul_1024x1024x768,1024,1024,768,25.8123706,25.721429,26.054286,0.0983970719191007,20,67488
matmul_1024x1024x896,1024,1024,896,28.7461338,28.714375,29.0,0.0758193288677623,20,78736
matmul_1024x128x1024,1024,128,1024,8.3259151,8.228482,8.588482,0.0846981120114568,20,11248
matmul_1024x128x128,1024,128,128,2.43601345,2.394286,2.59,0.0686070048905357,20,1406
matmul_1024x128x256,1024,128,256,3.1884061,3.144196,3.345714,0.0734252447078695,20,2812
matmul_1024x128x384,1024,128,384,3.9198614,3.791429,4.068571,0.1074294767112973,20,4218
matmul_1024x128x512,1024,128,512,4.65218765,4.598571,4.834286,0.0902880184796205,20,5624
matmul_1024x128x640,1024,128,640,5.2593616,5.132857,5.47,0.1031688839174823,20,7030
matmul_1024x128x768,1024,128,768,6.0669465,5.958572,6.247143,0.0898260640152606,20,8436
matmul_1024x128x896,1024,128,896,7.42918735,7.245714,7.62,0.1185843369440079,20,9842
matmul_1024x256x1024,1024,256,1024,13.11335285,13.021429,13.367143,0.1117432583612399,20,22496
matmul_1024x256x128,1024,256,128,3.68484825,3.651428,3.691428,0.0084487622318301,20,2812
matmul_1024x256x256,1024,256,256,5.0498571000000005,4.992767,5.165803,0.0504368535747006,20,5624
matmul_1024x256x384,1024,256,384,6.2421296,6.177143,6.438482,0.0835093834484295,20,8436
matmul_1024x256x512,1024,256,512,7.77942865,7.714286,7.96009,0.0746044340210948,20,11248
matmul_1024x256x640,1024,256,640,8.9844331,8.928572,9.2,0.0789750194801124,20,14060
matmul_1024x256x768,1024,256,768,10.44652225,10.398482,10.674196,0.082375636674722,20,16872
matmul_1024x256x896,1024,256,896,12.4949151,12.418571,12.731428,0.09258948599564,20,19684
matmul_1024x384x1024,1024,384,1024,11.9722857,11.861428,12.218482,0.1388978132657621,20,33744
matmul_1024x384x128,1024,384,128,4.5371427,4.395715,4.73,0.1133950964265627,20,4218
matmul_1024x384x256,1024,384,256,5.6768034,5.568571,5.974286,0.0811520246421232,20,8436
matmul_1024x384x384,1024,384,384,7.59141955,7.452857,7.828571,0.1167487404703726,20,12654
matmul_1024x384x512,1024,384,512,9.06599565,8.854286,9.288572,0.1316244477232478,20,16872
matmul_1024x384x640,1024,384,640,10.5271561,10.391339,10.76,0.0871689375268989,20,21090
matmul_1024x384x768,1024,384,768,12.1030089,11.905625,12.32,0.1406794145581026,20,25308
matmul_1024x384x896,1024,384,896,13.57626345,13.379911,13.798482,0.1352903557820325,20,29526
matmul_1024x512x1024,1024,512,1024,22.8482008,22.771339,23.094286,0.1153270887024793,20,44992
matmul_1024x512x128,1024,512,128,5.5724416,5.505714,5.698571,0.0691414037670932,20,5624
matmul_1024x512x256,1024,512,256,7.0984017,7.027053,7.295625,0.098487845889253,20,11248
matmul_1024x512x384,1024,512,384,8.8725538,8.794286,9.054286,0.0886257499557608,20,16872
matmul_1024x512x512,1024,512,512,10.472451,10.402947,10.747232,0.1171258079250908,20,22496
matmul_1024x512x640,1024,512,640,12.1128483,12.054285,12.298572,0.0868718254436112,20,28120
