kernel_name,event_type,event_name,dur(us)
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.699911
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.78
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.69134
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.748571
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.715625
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.762857
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.785804
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.698571
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.697143
"layer_norm_(2,3,128,128)",main,jit_kernel_with_params(3586615199545705049),4.747143
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.620089
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.701518
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.611518
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.67134
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.637143
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.684375
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.708572
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.621429
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.618572
"layer_norm_(2,3,128,128)",sub,reduce-window.7,4.668572
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.622857
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.994196
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.62
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.901428
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.647232
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.627143
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.62
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.624197
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.62
"layer_norm_(2,3,128,256)",main,jit_kernel_with_params(5254749461871442084),5.624196
"layer_norm_(2,3,128,256)",sub,reduce-window.7,5.544375
"layer_norm_(2,3,128,256)",sub,reduce-window.7,5.914375
"layer_norm_(2,3,128,256)",sub,reduce-window.7,5.541429
"layer_norm_(2,3,128,256)",sub,reduce-window.7,5.822857
"layer_norm_(2,3,128,256)",sub,reduce-window.7,5.56991
