kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,num_measurements
"layer_norm_(2,3,128,128)",2,3,128,128,98304,4.6543128,4.611518,4.708572,0.03685646693985857,10
"layer_norm_(2,3,128,256)",2,3,128,256,196608,5.6117143,5.541429,5.914375,0.13735581864312194,10
"layer_norm_(2,3,128,384)",2,3,128,384,294912,8.4041338,8.384196,8.555715,0.05329969267536982,10
"layer_norm_(2,3,128,512)",2,3,128,512,393216,9.9661696,9.904375,10.157143,0.09355040896899734,10
"layer_norm_(2,3,256,128)",2,3,256,128,196608,5.330428800000001,5.327232,5.335804,0.0022462391185663726,10
"layer_norm_(2,3,256,256)",2,3,256,256,393216,10.089000200000001,10.065714,10.215714,0.04904881632460103,10
"layer_norm_(2,3,256,384)",2,3,256,384,589824,13.9087053,13.905804,13.912768,0.0017853470282022765,10
"layer_norm_(2,3,256,512)",2,3,256,512,786432,18.441857300000002,18.374286,18.604286,0.09834173005850548,10
"layer_norm_(2,3,384,128)",2,3,384,128,294912,8.1514195,8.148571,8.154286,0.0018761710565226802,10
"layer_norm_(2,3,384,256)",2,3,384,256,589824,14.284991,14.231339,14.447143,0.0779541068663696,10
"layer_norm_(2,3,384,384)",2,3,384,384,884736,21.600741199999998,21.527232,21.771428,0.10915920628838888,10
"layer_norm_(2,3,384,512)",2,3,384,512,1179648,27.2509999,27.184286,27.485803,0.11936491788205139,10
"layer_norm_(2,3,512,128)",2,3,512,128,393216,9.653848399999998,9.644285,9.665625,0.00906127369266237,10
"layer_norm_(2,3,512,256)",2,3,512,256,786432,18.2890089,18.198661,18.502946,0.12580929105457817,10
"layer_norm_(2,3,512,384)",2,3,512,384,1179648,26.7747053,26.77009,26.789911,0.005597203588499451,10
"layer_norm_(2,3,512,512)",2,3,512,512,1572864,35.8668306,35.775625,36.262857,0.17567584229749164,10
"layer_norm_(2,64,128,128)",2,64,128,128,2097152,79.8288838,79.625625,80.055804,0.12820743023172257,10
"layer_norm_(2,64,128,256)",2,64,128,256,4194304,98.5634287,98.38009,98.731429,0.11754462426958598,10
"layer_norm_(2,64,128,384)",2,64,128,384,6291456,157.80999110000002,157.802857,157.814286,0.004192466217985948,10
"layer_norm_(2,64,128,512)",2,64,128,512,8388608,189.6085892,189.520089,189.805714,0.12332305531749999,10
"layer_norm_(2,64,256,128)",2,64,256,128,4194304,98.1674196,98.165715,98.168572,0.0011049526083325438,10
"layer_norm_(2,64,256,256)",2,64,256,256,8388608,191.7231251,191.615625,191.894375,0.1268204735946324,10
"layer_norm_(2,64,256,384)",2,64,256,384,12582912,279.4054105,279.401339,279.417143,0.004935808191176351,10
"layer_norm_(2,64,256,512)",2,64,256,512,16777216,366.85100009999996,366.710089,367.144197,0.1676555549873016,10
"layer_norm_(2,64,384,128)",2,64,384,128,6291456,157.57272299999997,157.56991,157.575625,0.0016873451863171826,10
"layer_norm_(2,64,384,256)",2,64,384,256,12582912,279.84983040000003,279.754286,280.03991,0.12296735767874001,10
"layer_norm_(2,64,384,384)",2,64,384,384,18874368,432.43813389999997,432.355714,432.631428,0.11887306943538253,10
