kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,predicted_duration_us,residuals
"layer_norm_(2,3,128,128)",2,3,128,128,98304,4.6543128,-1.1305654626674593,5.784878262667458
"layer_norm_(2,3,128,256)",2,3,128,256,196608,5.6117143,0.9384150435717862,4.673299256428214
"layer_norm_(2,3,128,384)",2,3,128,384,294912,8.4041338,3.007395549811031,5.396738250188969
"layer_norm_(2,3,128,512)",2,3,128,512,393216,9.9661696,5.076376056050277,4.8897935439497235
"layer_norm_(2,3,256,128)",2,3,256,128,196608,5.330428800000001,0.9384150435717862,4.392013756428215
"layer_norm_(2,3,256,256)",2,3,256,256,393216,10.0890002,5.076376056050277,5.012624143949722
"layer_norm_(2,3,256,384)",2,3,256,384,589824,13.9087053,9.214337068528767,4.694368231471232
"layer_norm_(2,3,256,512)",2,3,256,512,786432,18.4418573,13.352298081007259,5.08955921899274
"layer_norm_(2,3,384,128)",2,3,384,128,294912,8.1514195,3.007395549811031,5.144023950188968
"layer_norm_(2,3,384,256)",2,3,384,256,589824,14.284991,9.214337068528767,5.070653931471233
"layer_norm_(2,3,384,384)",2,3,384,384,884736,21.6007412,15.421278587246505,6.179462612753497
"layer_norm_(2,3,384,512)",2,3,384,512,1179648,27.2509999,21.62822010596424,5.622779794035761
"layer_norm_(2,3,512,128)",2,3,512,128,393216,9.653848399999998,5.076376056050277,4.5774723439497205
"layer_norm_(2,3,512,256)",2,3,512,256,786432,18.2890089,13.352298081007259,4.93671081899274
"layer_norm_(2,3,512,384)",2,3,512,384,1179648,26.7747053,21.62822010596424,5.146485194035762
"layer_norm_(2,3,512,512)",2,3,512,512,1572864,35.8668306,29.904142130921223,5.962688469078778
"layer_norm_(2,64,128,128)",2,64,128,128,2097152,79.8288838,40.93870483086386,38.89017896913614
"layer_norm_(2,64,128,256)",2,64,128,256,4194304,98.5634287,85.07695563063443,13.486473069365573
"layer_norm_(2,64,128,384)",2,64,128,384,6291456,157.80999110000002,129.215206430405,28.594784669595015
"layer_norm_(2,64,128,512)",2,64,128,512,8388608,189.6085892,173.35345723017556,16.255131969824447
"layer_norm_(2,64,256,128)",2,64,256,128,4194304,98.1674196,85.07695563063443,13.090463969365572
"layer_norm_(2,64,256,256)",2,64,256,256,8388608,191.7231251,173.35345723017556,18.36966786982444
"layer_norm_(2,64,256,384)",2,64,256,384,12582912,279.4054105,261.6299588297167,17.775451670283303
"layer_norm_(2,64,256,512)",2,64,256,512,16777216,366.8510001,349.90646042925783,16.944539670742188
"layer_norm_(2,64,384,128)",2,64,384,128,6291456,157.57272299999997,129.215206430405,28.357516569594964
