kernel_name,event_type,event_name,dur(us)
"layer_norm_(1,64,128,128)",main,jit_kernel_with_params(5037675956989879286),40.177143
"layer_norm_(1,64,128,128)",main,jit_kernel_with_params(5037675956989879286),40.078571
"layer_norm_(1,64,128,128)",main,jit_kernel_with_params(5037675956989879286),40.125714
"layer_norm_(1,64,128,128)",sub,reduce-window.7,40.098661
"layer_norm_(1,64,128,128)",sub,reduce-window.7,40.001429
"layer_norm_(1,64,128,128)",sub,reduce-window.7,40.047232
"layer_norm_(1,64,128,256)",main,jit_kernel_with_params(16345970734606984438),49.58
"layer_norm_(1,64,128,256)",main,jit_kernel_with_params(16345970734606984438),49.575714
"layer_norm_(1,64,128,256)",main,jit_kernel_with_params(16345970734606984438),49.725803
"layer_norm_(1,64,128,256)",sub,reduce-window.7,49.502768
"layer_norm_(1,64,128,256)",sub,reduce-window.7,49.497143
"layer_norm_(1,64,128,256)",sub,reduce-window.7,49.648571
"layer_norm_(1,64,128,384)",main,jit_kernel_with_params(15464653568865437492),79.302768
"layer_norm_(1,64,128,384)",main,jit_kernel_with_params(15464653568865437492),79.308571
"layer_norm_(1,64,128,384)",main,jit_kernel_with_params(15464653568865437492),79.308572
"layer_norm_(1,64,128,384)",sub,reduce-window.7,79.222946
"layer_norm_(1,64,128,384)",sub,reduce-window.7,79.231339
"layer_norm_(1,64,128,384)",sub,reduce-window.7,79.23009
"layer_norm_(1,64,128,512)",main,jit_kernel_with_params(7547551235841932771),95.277053
"layer_norm_(1,64,128,512)",main,jit_kernel_with_params(7547551235841932771),95.168483
"layer_norm_(1,64,128,512)",main,jit_kernel_with_params(7547551235841932771),95.167143
"layer_norm_(1,64,128,512)",sub,reduce-window.7,95.197232
"layer_norm_(1,64,128,512)",sub,reduce-window.7,95.088661
"layer_norm_(1,64,128,512)",sub,reduce-window.7,95.088571
"layer_norm_(1,64,128,640)",main,jit_kernel_with_params(12088045507792209880),119.081428
"layer_norm_(1,64,128,640)",main,jit_kernel_with_params(12088045507792209880),118.855714
"layer_norm_(1,64,128,640)",main,jit_kernel_with_params(12088045507792209880),119.104196
"layer_norm_(1,64,128,640)",sub,reduce-window.7,119.002857
"layer_norm_(1,64,128,640)",sub,reduce-window.7,118.777143
"layer_norm_(1,64,128,640)",sub,reduce-window.7,119.025715
"layer_norm_(1,64,128,768)",main,jit_kernel_with_params(8259708196671464299),140.368571
"layer_norm_(1,64,128,768)",main,jit_kernel_with_params(8259708196671464299),139.977054
"layer_norm_(1,64,128,768)",main,jit_kernel_with_params(8259708196671464299),139.974286
"layer_norm_(1,64,128,768)",sub,reduce-window.7,140.290089
"layer_norm_(1,64,128,768)",sub,reduce-window.7,139.897233
"layer_norm_(1,64,128,768)",sub,reduce-window.7,139.897054
"layer_norm_(1,64,128,896)",main,jit_kernel_with_params(15655211149552034834),161.611429
"layer_norm_(1,64,128,896)",main,jit_kernel_with_params(15655211149552034834),161.85
"layer_norm_(1,64,128,896)",main,jit_kernel_with_params(15655211149552034834),161.625804
"layer_norm_(1,64,128,896)",sub,reduce-window.7,161.532858
"layer_norm_(1,64,128,896)",sub,reduce-window.7,161.772857
"layer_norm_(1,64,128,896)",sub,reduce-window.7,161.548572
"layer_norm_(1,64,128,1024)",main,jit_kernel_with_params(4990647984394902483),183.951518
"layer_norm_(1,64,128,1024)",main,jit_kernel_with_params(4990647984394902483),183.935803
"layer_norm_(1,64,128,1024)",main,jit_kernel_with_params(4990647984394902483),183.931428
"layer_norm_(1,64,128,1024)",sub,reduce-window.7,183.874286
"layer_norm_(1,64,128,1024)",sub,reduce-window.7,183.858482
"layer_norm_(1,64,128,1024)",sub,reduce-window.7,183.852946
"layer_norm_(1,64,256,128)",main,jit_kernel_with_params(12850943572665355882),69.995714
"layer_norm_(1,64,256,128)",main,jit_kernel_with_params(12850943572665355882),70.399911
"layer_norm_(1,64,256,128)",main,jit_kernel_with_params(12850943572665355882),69.985625
"layer_norm_(1,64,256,128)",sub,copy,20.694286
"layer_norm_(1,64,256,128)",sub,reduce-window.7,49.222857
"layer_norm_(1,64,256,128)",sub,copy,21.094375
"layer_norm_(1,64,256,128)",sub,reduce-window.7,49.224375
"layer_norm_(1,64,256,128)",sub,copy,20.681428
"layer_norm_(1,64,256,128)",sub,reduce-window.7,49.222946
"layer_norm_(1,64,256,256)",main,jit_kernel_with_params(5363164268700889232),96.168572
"layer_norm_(1,64,256,256)",main,jit_kernel_with_params(5363164268700889232),96.17
"layer_norm_(1,64,256,256)",main,jit_kernel_with_params(5363164268700889232),96.16991
"layer_norm_(1,64,256,256)",sub,reduce-window.7,96.09009
"layer_norm_(1,64,256,256)",sub,reduce-window.7,96.092857
"layer_norm_(1,64,256,256)",sub,reduce-window.7,96.091429
"layer_norm_(1,64,256,384)",main,jit_kernel_with_params(12043593181091666866),194.824285
"layer_norm_(1,64,256,384)",main,jit_kernel_with_params(12043593181091666866),195.228572
"layer_norm_(1,64,256,384)",main,jit_kernel_with_params(12043593181091666866),194.85
"layer_norm_(1,64,256,384)",sub,copy,54.85866
"layer_norm_(1,64,256,384)",sub,reduce-window.7,139.887143
"layer_norm_(1,64,256,384)",sub,copy,55.262946
"layer_norm_(1,64,256,384)",sub,reduce-window.7,139.885715
"layer_norm_(1,64,256,384)",sub,copy,54.881339
"layer_norm_(1,64,256,384)",sub,reduce-window.7,139.88866
"layer_norm_(1,64,256,512)",main,jit_kernel_with_params(15387302923376142998),184.091429
"layer_norm_(1,64,256,512)",main,jit_kernel_with_params(15387302923376142998),183.808571
"layer_norm_(1,64,256,512)",main,jit_kernel_with_params(15387302923376142998),183.814286
"layer_norm_(1,64,256,512)",sub,reduce-window.7,184.012857
"layer_norm_(1,64,256,512)",sub,reduce-window.7,183.73
"layer_norm_(1,64,256,512)",sub,reduce-window.7,183.735715
"layer_norm_(1,64,256,640)",main,jit_kernel_with_params(12883513651960158945),315.178661
"layer_norm_(1,64,256,640)",main,jit_kernel_with_params(12883513651960158945),315.14
"layer_norm_(1,64,256,640)",main,jit_kernel_with_params(12883513651960158945),314.875804
"layer_norm_(1,64,256,640)",sub,copy,89.48
"layer_norm_(1,64,256,640)",sub,reduce-window.7,225.62
"layer_norm_(1,64,256,640)",sub,copy,89.431518
"layer_norm_(1,64,256,640)",sub,reduce-window.7,225.628571
"layer_norm_(1,64,256,640)",sub,copy,89.182858
"layer_norm_(1,64,256,640)",sub,reduce-window.7,225.614286
"layer_norm_(1,64,256,768)",main,jit_kernel_with_params(11315622182058059458),275.6
"layer_norm_(1,64,256,768)",main,jit_kernel_with_params(11315622182058059458),275.6
"layer_norm_(1,64,256,768)",main,jit_kernel_with_params(11315622182058059458),275.872857
"layer_norm_(1,64,256,768)",sub,reduce-window.7,275.521429
"layer_norm_(1,64,256,768)",sub,reduce-window.7,275.521429
"layer_norm_(1,64,256,768)",sub,reduce-window.7,275.795714
"layer_norm_(1,64,256,896)",main,jit_kernel_with_params(14444075971499725859),447.298572
"layer_norm_(1,64,256,896)",main,jit_kernel_with_params(14444075971499725859),447.201429
"layer_norm_(1,64,256,896)",main,jit_kernel_with_params(14444075971499725859),447.235625
"layer_norm_(1,64,256,896)",sub,copy,128.428572
"layer_norm_(1,64,256,896)",sub,reduce-window.7,318.791429
"layer_norm_(1,64,256,896)",sub,copy,128.330089
"layer_norm_(1,64,256,896)",sub,reduce-window.7,318.792857
"layer_norm_(1,64,256,896)",sub,copy,128.367143
