kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,num_measurements
"layer_norm_(1,64,128,128)",1,64,128,128,1048576,40.04910733333333,40.001429,40.098661,0.04864311988691973,3
"layer_norm_(1,64,128,256)",1,64,128,256,2097152,49.549494,49.497143,49.648571,0.08584928131906218,3
"layer_norm_(1,64,128,384)",1,64,128,384,3145728,79.22812499999999,79.222946,79.231339,0.0045284137399381925,3
"layer_norm_(1,64,128,512)",1,64,128,512,4194304,95.12482133333333,95.088571,95.197232,0.06270949298418203,3
"layer_norm_(1,64,128,640)",1,64,128,640,5242880,118.93523833333334,118.777143,119.025715,0.1373907670017711,3
"layer_norm_(1,64,128,768)",1,64,128,768,6291456,140.02812533333335,139.897054,140.290089,0.22686720785590045,3
"layer_norm_(1,64,128,896)",1,64,128,896,7340032,161.61809566666668,161.532858,161.772857,0.13425734680206722,3
"layer_norm_(1,64,128,1024)",1,64,128,1024,8388608,183.86190466666667,183.852946,183.874286,0.011074063632354013,3
"layer_norm_(1,64,256,128)",1,64,256,128,2097152,49.22339266666666,49.222857,49.224375,0.0008518886860009428,3
"layer_norm_(1,64,256,256)",1,64,256,256,4194304,96.09145866666667,96.09009,96.092857,0.0013837385350280013,3
"layer_norm_(1,64,256,384)",1,64,256,384,6291456,139.88717266666666,139.885715,139.88866,0.001472724119890556,3
"layer_norm_(1,64,256,512)",1,64,256,512,8388608,183.82619066666666,183.73,184.012857,0.16168303963722913,3
"layer_norm_(1,64,256,640)",1,64,256,640,10485760,225.62095233333332,225.614286,225.628571,0.0071899589938559235,3
"layer_norm_(1,64,256,768)",1,64,256,768,12582912,275.61285733333335,275.521429,275.795714,0.1583585185846554,3
"layer_norm_(1,64,256,896)",1,64,256,896,14680064,318.79095233333334,318.788571,318.792857,0.0021823971529956387,3
"layer_norm_(1,64,256,1024)",1,64,256,1024,16777216,367.198512,367.068572,367.365625,0.15197531098504655,3
"layer_norm_(1,64,384,128)",1,64,384,128,3145728,78.94196433333333,78.940089,78.944286,0.0021338023182441105,3
"layer_norm_(1,64,384,256)",1,64,384,256,6291456,140.30377966666666,140.192857,140.522857,0.18973158393195766,3
