kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,predicted_duration_us,residuals
"layer_norm_(1,64,128,128)",1,64,128,128,1048576,40.04910733333333,-59.355396887577385,99.40450422091072
"layer_norm_(1,64,128,256)",1,64,128,256,2097152,49.549494,-32.682304583065935,82.23179858306594
"layer_norm_(1,64,128,384)",1,64,128,384,3145728,79.22812499999999,-6.009212278554486,85.23733727855448
"layer_norm_(1,64,128,512)",1,64,128,512,4194304,95.12482133333332,20.66388002595697,74.46094130737634
"layer_norm_(1,64,128,640)",1,64,128,640,5242880,118.93523833333334,47.33697233046843,71.59826600286492
"layer_norm_(1,64,128,768)",1,64,128,768,6291456,140.02812533333335,74.01006463497987,66.01806069835348
"layer_norm_(1,64,128,896)",1,64,128,896,7340032,161.61809566666668,100.68315693949134,60.934938727175336
"layer_norm_(1,64,128,1024)",1,64,128,1024,8388608,183.86190466666667,127.35624924400278,56.50565542266389
"layer_norm_(1,64,256,128)",1,64,256,128,2097152,49.22339266666666,-32.682304583065935,81.9056972497326
"layer_norm_(1,64,256,256)",1,64,256,256,4194304,96.09145866666668,20.66388002595697,75.42757864070971
"layer_norm_(1,64,256,384)",1,64,256,384,6291456,139.88717266666666,74.01006463497987,65.87710803168679
"layer_norm_(1,64,256,512)",1,64,256,512,8388608,183.82619066666663,127.35624924400278,56.46994142266385
"layer_norm_(1,64,256,640)",1,64,256,640,10485760,225.6209523333333,180.7024338530257,44.9185184803076
"layer_norm_(1,64,256,768)",1,64,256,768,12582912,275.6128573333333,234.04861846204858,41.564238871284715
"layer_norm_(1,64,256,896)",1,64,256,896,14680064,318.79095233333334,287.3948030710715,31.396149262261815
"layer_norm_(1,64,256,1024)",1,64,256,1024,16777216,367.198512,340.7409876800944,26.457524319905588
"layer_norm_(1,64,384,128)",1,64,384,128,3145728,78.94196433333333,-6.009212278554486,84.95117661188782
"layer_norm_(1,64,384,256)",1,64,384,256,6291456,140.30377966666666,74.01006463497987,66.29371503168679
"layer_norm_(1,64,384,384)",1,64,384,384,9437184,216.81,154.02934154851422,62.78065845148578
"layer_norm_(1,64,384,512)",1,64,384,512,12582912,276.319018,234.04861846204858,42.27039953795145
"layer_norm_(1,64,384,640)",1,64,384,640,15728640,357.4410116666666,314.06789537558296,43.37311629108365
"layer_norm_(1,64,384,768)",1,64,384,768,18874368,408.77622033333336,394.0871722891173,14.689048044216065
"layer_norm_(1,64,384,896)",1,64,384,896,22020096,494.0423806666666,474.1064492026517,19.935931464014914
"layer_norm_(1,64,384,1024)",1,64,384,1024,25165824,548.8300003333334,554.125726116186,-5.295725782852628
"layer_norm_(1,64,512,128)",1,64,512,128,4194304,94.804702,20.66388002595697,74.14082197404304
"layer_norm_(1,64,512,256)",1,64,512,256,8388608,182.332887,127.35624924400278,54.97663775599722
"layer_norm_(1,64,512,384)",1,64,512,384,12582912,275.7690473333333,234.04861846204858,41.720428871284696
"layer_norm_(1,64,512,512)",1,64,512,512,16777216,366.5004763333333,340.7409876800944,25.75948865323892
"layer_norm_(1,64,512,640)",1,64,512,640,20971520,456.8662203333333,447.43335689814023,9.432863435193042
"layer_norm_(1,64,512,768)",1,64,512,768,25165824,548.9552383333333,554.125726116186,-5.1704877828526605
"layer_norm_(1,64,512,896)",1,64,512,896,29360128,639.7857439999999,660.8180953342319,-21.032351334231976
"layer_norm_(1,64,512,1024)",1,64,512,1024,33554432,734.1828869999999,767.5104645522777,-33.32757755227772
"layer_norm_(1,64,640,128)",1,64,640,128,5242880,118.48330366666666,47.33697233046843,71.14633133619823
"layer_norm_(1,64,640,256)",1,64,640,256,10485760,226.006726,180.7024338530257,45.30429214697429
"layer_norm_(1,64,640,384)",1,64,640,384,15728640,356.8104763333333,314.06789537558296,42.74258095775036
"layer_norm_(1,64,640,512)",1,64,640,512,20971520,457.5109526666667,447.43335689814023,10.077595768526464
"layer_norm_(1,64,640,640)",1,64,640,640,26214400,598.9776189999999,580.7988184206974,18.178800579302447
"layer_norm_(1,64,640,768)",1,64,640,768,31457280,686.6228573333334,714.1642799432548,-27.54142260992137
"layer_norm_(1,64,640,896)",1,64,640,896,36700160,831.7800000000001,847.529741465812,-15.749741465811894
"layer_norm_(1,64,640,1024)",1,64,640,1024,41943040,921.8000296666664,980.8952029883693,-59.09517332170287
"layer_norm_(1,64,768,128)",1,64,768,128,6291456,139.58044633333336,74.01006463497987,65.57038169835349
"layer_norm_(1,64,768,256)",1,64,768,256,12582912,271.44714266666665,234.04861846204858,37.39852420461807
"layer_norm_(1,64,768,384)",1,64,768,384,18874368,407.99285733333335,394.0871722891173,13.905685044216057
"layer_norm_(1,64,768,512)",1,64,768,512,25165824,548.032887,554.125726116186,-6.092839116186042
"layer_norm_(1,64,768,640)",1,64,768,640,31457280,685.7915173333334,714.1642799432548,-28.372762609921324
"layer_norm_(1,64,768,768)",1,64,768,768,37748736,829.0832736666666,874.2028337703234,-45.119560103656795
"layer_norm_(1,64,768,896)",1,64,768,896,44040192,1680.0918453333334,1034.241387597392,645.8504577359413
"layer_norm_(1,64,768,1024)",1,64,768,1024,50331648,1103.1814583333332,1194.279941424461,-91.09848309112772
"layer_norm_(1,64,896,128)",1,64,896,128,7340032,161.19282766666666,100.68315693949134,60.50967072717532
"layer_norm_(1,64,896,256)",1,64,896,256,14680064,319.32952366666666,287.3948030710715,31.934720595595138
"layer_norm_(1,64,896,384)",1,64,896,384,22020096,493.2371726666667,474.1064492026517,19.130723464015034
"layer_norm_(1,64,896,512)",1,64,896,512,29360128,640.4618746666666,660.8180953342319,-20.356220667565253
"layer_norm_(1,64,896,640)",1,64,896,640,36700160,831.0209523333333,847.529741465812,-16.508789132478682
"layer_norm_(1,64,896,768)",1,64,896,768,44040192,1680.5757139999998,1034.241387597392,646.3343264026078
"layer_norm_(1,64,896,896)",1,64,896,896,51380224,1650.4714586666666,1220.9530337289725,429.51842493769414
"layer_norm_(1,64,896,1024)",1,64,896,1024,58720256,1348.8862496666666,1407.6646798605525,-58.778430193885924
"layer_norm_(1,64,1024,128)",1,64,1024,128,8388608,183.5219046666667,127.35624924400278,56.16565542266392
"layer_norm_(1,64,1024,256)",1,64,1024,256,16777216,361.9085416666667,340.7409876800944,21.167553986572273
"layer_norm_(1,64,1024,384)",1,64,1024,384,25165824,548.202381,554.125726116186,-5.923345116186056
"layer_norm_(1,64,1024,512)",1,64,1024,512,33554432,734.4238096666668,767.5104645522777,-33.08665488561087
"layer_norm_(1,64,1024,640)",1,64,1024,640,41943040,920.930536,980.8952029883693,-59.964666988369345
"layer_norm_(1,64,1024,768)",1,64,1024,768,50331648,1848.206190333333,1194.279941424461,653.9262489088721
"layer_norm_(1,64,1024,896)",1,64,1024,896,58720256,1348.3366666666668,1407.6646798605525,-59.32801319388568
"layer_norm_(1,64,1024,1024)",1,64,1024,1024,67108864,1463.9433626666666,1621.049418296644,-157.1060556299774
"layer_norm_(1,128,128,128)",1,128,128,128,2097152,39.35568466666666,-32.682304583065935,72.03798924973259
"layer_norm_(1,128,128,256)",1,128,128,256,4194304,98.26003,20.66388002595697,77.59614997404303
"layer_norm_(1,128,128,384)",1,128,128,384,6291456,92.30089266666666,74.01006463497987,18.290828031686786
"layer_norm_(1,128,128,512)",1,128,128,512,8388608,189.1242553333333,127.35624924400278,61.76800608933053
"layer_norm_(1,128,128,640)",1,128,128,640,10485760,154.80619066666668,180.7024338530257,-25.896243186359015
"layer_norm_(1,128,128,768)",1,128,128,768,12582912,278.610566,234.04861846204858,44.561947537951426
"layer_norm_(1,128,128,896)",1,128,128,896,14680064,217.4319046666667,287.3948030710715,-69.96289840440483
"layer_norm_(1,128,128,1024)",1,128,128,1024,16777216,366.6176786666667,340.7409876800944,25.87669098657227
